date,wrp,positive tests,test positivity rate,hospital admissions,Cook County beds in use
2020-08-01,Calumet,213.97,0.0572,15.26,774
2020-08-02,Calumet,205.42,0.058,15.26,767
2020-08-03,Calumet,205.58,0.057,15.54,773
2020-08-04,Calumet,220.49,0.0556,15.81,771
2020-08-05,Calumet,222.05,0.0544,16.08,769
2020-08-06,Calumet,225.47,0.0536,15.81,774
2020-08-07,Calumet,224.53,0.0551,15.54,788
2020-08-08,Calumet,213.04,0.0566,14.99,788
2020-08-09,Calumet,216.61,0.0566,15.81,785
2020-08-10,Calumet,211.02,0.0556,15.26,781
2020-08-11,Calumet,202.62,0.0574,14.72,780
2020-08-12,Calumet,202.31,0.0571,14.45,786
2020-08-13,Calumet,205.58,0.0594,14.99,789
2020-08-14,Calumet,199.21,0.0571,14.99,781
2020-08-15,Calumet,210.24,0.0556,15.54,795
2020-08-16,Calumet,211.48,0.0566,14.99,806
2020-08-17,Calumet,220.65,0.0567,15.26,808
2020-08-18,Calumet,224.85,0.0557,16.08,799
2020-08-19,Calumet,231.99,0.0585,16.08,786
2020-08-20,Calumet,228.73,0.0564,16.08,776
2020-08-21,Calumet,226.09,0.059,16.08,771
2020-08-22,Calumet,228.42,0.0594,16.08,749
2020-08-23,Calumet,220.65,0.0595,16.63,736
2020-08-24,Calumet,208.22,0.0599,16.35,727
2020-08-25,Calumet,194.86,0.0587,16.08,731
2020-08-26,Calumet,194.54,0.059,16.9,736
2020-08-27,Calumet,195.17,0.0605,16.9,732
2020-08-28,Calumet,188.02,0.0604,17.17,732
2020-08-29,Calumet,182.27,0.0578,16.9,732
2020-08-30,Calumet,175.28,0.0577,16.35,726
2020-08-31,Calumet,217.7,0.0582,16.9,725
2020-09-01,Calumet,230.75,0.0596,16.08,723
2020-09-02,Calumet,222.2,0.0597,15.54,719
2020-09-03,Calumet,217.23,0.0571,14.72,720
2020-09-04,Calumet,219.72,0.0527,14.99,715
2020-09-05,Calumet,204.18,0.0556,14.72,718
2020-09-06,Calumet,208.06,0.0559,13.36,717
2020-09-07,Calumet,161.76,0.0571,13.36,713
2020-09-08,Calumet,147.31,0.0546,13.63,707
2020-09-09,Calumet,137.36,0.0504,13.36,703
2020-09-10,Calumet,135.03,0.0499,12.81,705
2020-09-11,Calumet,132.23,0.0517,12.54,707
2020-09-12,Calumet,142.65,0.0491,12.81,697
2020-09-13,Calumet,147.93,0.0452,12.81,688
2020-09-14,Calumet,147.46,0.0436,12.81,687
2020-09-15,Calumet,166.42,0.0451,12.27,694
2020-09-16,Calumet,174.03,0.0475,12.27,692
2020-09-17,Calumet,177.92,0.0501,12.54,682
2020-09-18,Calumet,180.56,0.0468,11.72,682
2020-09-19,Calumet,178.07,0.0483,11.45,685
2020-09-20,Calumet,186.62,0.0492,11.45,689
2020-09-21,Calumet,190.5,0.0507,11.18,682
2020-09-22,Calumet,184.13,0.0512,11.45,679
2020-09-23,Calumet,179.32,0.0515,11.72,692
2020-09-24,Calumet,176.05,0.0514,11.72,701
2020-09-25,Calumet,180.09,0.0528,11.72,705
2020-09-26,Calumet,193.3,0.0517,12.27,707
2020-09-27,Calumet,187.4,0.0492,13.08,702
2020-09-28,Calumet,193.15,0.0472,13.08,708
2020-09-29,Calumet,190.35,0.047,12.81,716
2020-09-30,Calumet,197.81,0.049,12.81,707
2020-10-01,Calumet,210.71,0.0475,12.54,709
2020-10-02,Calumet,210.71,0.0491,11.99,702
2020-10-03,Calumet,221.74,0.0477,12.54,712
2020-10-04,Calumet,237.59,0.0501,12.54,731
2020-10-05,Calumet,238.52,0.0533,13.63,743
2020-10-06,Calumet,256.86,0.0523,14.72,743
2020-10-07,Calumet,269.91,0.0538,14.99,758
2020-10-08,Calumet,282.03,0.0568,15.54,771
2020-10-09,Calumet,305.65,0.0565,16.63,791
2020-10-10,Calumet,298.03,0.0598,16.35,804
2020-10-11,Calumet,310.15,0.0601,17.44,814
2020-10-12,Calumet,339.99,0.061,16.9,828
2020-10-13,Calumet,348.69,0.0647,16.08,851
2020-10-14,Calumet,398.1,0.0639,16.35,856
2020-10-15,Calumet,407.58,0.067,17.44,861
2020-10-16,Calumet,411.78,0.0694,17.17,878
2020-10-17,Calumet,437.88,0.0697,17.17,893
2020-10-18,Calumet,462.74,0.0764,18.81,912
2020-10-19,Calumet,451.09,0.0759,19.08,932
2020-10-20,Calumet,483.72,0.077,21.26,947
2020-10-21,Calumet,456.99,0.0801,23.71,989
2020-10-22,Calumet,480.61,0.0806,24.53,1028
2020-10-23,Calumet,485.12,0.0783,24.8,1058
2020-10-24,Calumet,512.31,0.0837,26.44,1093
2020-10-25,Calumet,535.46,0.0812,27.26,1128
2020-10-26,Calumet,586.9,0.0861,28.89,1162
2020-10-27,Calumet,606.17,0.0861,29.98,1211
2020-10-28,Calumet,678.73,0.0884,31.62,1252
2020-10-29,Calumet,715.87,0.0944,33.25,1295
2020-10-30,Calumet,744.62,0.1,34.07,1343
2020-10-31,Calumet,775.38,0.1014,35.98,1400
2020-11-01,Calumet,807.7,0.1095,37.07,1456
2020-11-02,Calumet,930.46,0.1124,40.61,1512
2020-11-03,Calumet,998.67,0.1129,41.97,1562
2020-11-04,Calumet,1003.8,0.1177,42.79,1610
2020-11-05,Calumet,1063.16,0.1201,45.25,1677
2020-11-06,Calumet,1162.14,0.1416,47.97,1750
2020-11-07,Calumet,1193.22,0.149,50.97,1823
2020-11-08,Calumet,1270.14,0.1485,53.15,1882
2020-11-09,Calumet,1270.6,0.1589,54.79,1960
2020-11-10,Calumet,1239.52,0.1635,56.69,2049
2020-11-11,Calumet,1269.05,0.1641,59.96,2140
2020-11-12,Calumet,1272.0,0.1657,60.51,2215
2020-11-13,Calumet,1257.7,0.162,58.87,2287
2020-11-14,Calumet,1221.19,0.1529,60.78,2357
2020-11-15,Calumet,1205.65,0.1577,63.23,2439
2020-11-16,Calumet,1136.5,0.1513,64.87,2515
2020-11-17,Calumet,1157.48,0.1515,65.14,2575
2020-11-18,Calumet,1144.12,0.1453,64.05,2627
2020-11-19,Calumet,1084.29,0.146,61.87,2683
2020-11-20,Calumet,1047.15,0.1353,62.69,2738
2020-11-21,Calumet,1067.82,0.1416,62.14,2780
2020-11-22,Calumet,1018.25,0.1405,61.05,2832
2020-11-23,Calumet,983.91,0.1287,58.87,2863
2020-11-24,Calumet,918.18,0.1234,56.42,2891
2020-11-25,Calumet,873.43,0.1255,56.15,2901
2020-11-26,Calumet,851.83,0.1191,53.42,2899
2020-11-27,Calumet,910.41,0.1182,53.15,2879
2020-11-28,Calumet,889.13,0.1123,53.97,2875
2020-11-29,Calumet,893.17,0.1096,54.79,2859
2020-11-30,Calumet,912.74,0.114,53.7,2836
2020-12-01,Calumet,940.56,0.1192,53.7,2821
2020-12-02,Calumet,949.57,0.1178,52.88,2806
2020-12-03,Calumet,984.69,0.1197,55.6,2781
2020-12-04,Calumet,901.09,0.1178,53.7,2768
2020-12-05,Calumet,900.47,0.1171,54.24,2726
2020-12-06,Calumet,999.45,0.1153,55.33,2683
2020-12-07,Calumet,979.87,0.1172,54.51,2648
2020-12-08,Calumet,975.21,0.1103,52.6,2618
2020-12-09,Calumet,972.88,0.1118,53.7,2580
2020-12-10,Calumet,949.11,0.1152,53.15,2561
2020-12-11,Calumet,945.07,0.1145,52.6,2528
2020-12-12,Calumet,920.05,0.1156,53.7,2524
2020-12-13,Calumet,792.16,0.1183,53.7,2508
2020-12-14,Calumet,766.37,0.1107,54.24,2492
2020-12-15,Calumet,733.89,0.1131,53.7,2465
2020-12-16,Calumet,707.48,0.1052,51.24,2447
2020-12-17,Calumet,662.73,0.0971,49.33,2419
2020-12-18,Calumet,650.3,0.0942,47.15,2391
2020-12-19,Calumet,649.52,0.0914,47.97,2340
2020-12-20,Calumet,618.6,0.089,46.88,2307
2020-12-21,Calumet,598.55,0.0831,43.07,2280
2020-12-22,Calumet,549.6,0.0816,46.61,2261
2020-12-23,Calumet,531.11,0.0846,45.79,2233
2020-12-24,Calumet,512.16,0.0817,43.61,2202
2020-12-25,Calumet,502.21,0.0798,40.07,2163
2020-12-26,Calumet,515.42,0.0763,40.34,2145
2020-12-27,Calumet,530.49,0.0753,41.43,2133
2020-12-28,Calumet,552.56,0.0794,41.97,2112
2020-12-29,Calumet,571.36,0.0816,40.88,2088
2020-12-30,Calumet,578.97,0.0845,38.43,2070
2020-12-31,Calumet,608.5,0.0869,37.89,2056
2021-01-01,Calumet,623.72,0.0886,36.52,2044
2021-01-02,Calumet,625.9,0.0924,38.43,2017
2021-01-03,Calumet,659.0,0.0941,37.61,1993
2021-01-04,Calumet,688.52,0.1009,37.61,1957
2021-01-05,Calumet,741.04,0.0994,37.61,1922
2021-01-06,Calumet,740.58,0.099,38.43,1896
2021-01-07,Calumet,727.68,0.1022,38.7,1870
2021-01-08,Calumet,733.12,0.1055,38.7,1854
2021-01-09,Calumet,707.63,0.1054,38.98,1838
2021-01-10,Calumet,654.18,0.099,38.98,1810
2021-01-11,Calumet,631.49,0.0961,38.43,1788
2021-01-12,Calumet,604.3,0.0978,38.16,1772
2021-01-13,Calumet,589.23,0.0948,38.16,1746
2021-01-14,Calumet,584.1,0.0862,36.25,1723
2021-01-15,Calumet,547.58,0.0849,35.98,1700
2021-01-16,Calumet,537.33,0.0825,35.98,1688
2021-01-17,Calumet,526.92,0.0764,35.16,1675
2021-01-18,Calumet,517.91,0.0754,34.62,1664
2021-01-19,Calumet,498.33,0.0727,34.07,1636
2021-01-20,Calumet,485.9,0.0714,33.53,1627
2021-01-21,Calumet,474.55,0.0727,32.98,1611
2021-01-22,Calumet,466.94,0.0691,31.62,1599
2021-01-23,Calumet,446.74,0.0641,30.25,1582
2021-01-24,Calumet,437.73,0.0679,30.25,1557
2021-01-25,Calumet,410.07,0.0663,28.62,1535
2021-01-26,Calumet,382.87,0.0645,27.53,1515
2021-01-27,Calumet,366.09,0.0625,27.26,1476
2021-01-28,Calumet,357.86,0.0612,25.89,1439
2021-01-29,Calumet,324.14,0.0587,24.53,1397
2021-01-30,Calumet,319.32,0.0552,24.26,1350
2021-01-31,Calumet,297.57,0.0521,23.17,1307
2021-02-01,Calumet,277.21,0.0518,22.62,1267
2021-02-02,Calumet,273.33,0.0479,22.08,1235
2021-02-03,Calumet,271.15,0.0469,21.81,1204
2021-02-04,Calumet,260.27,0.0438,21.53,1179
2021-02-05,Calumet,264.62,0.0411,21.26,1161
2021-02-06,Calumet,259.65,0.0422,21.26,1148
2021-02-07,Calumet,246.44,0.0416,21.81,1133
2021-02-08,Calumet,229.97,0.0411,21.81,1113
2021-02-09,Calumet,222.98,0.0425,20.44,1089
2021-02-10,Calumet,218.47,0.0427,19.35,1070
2021-02-11,Calumet,207.44,0.0394,19.62,1052
2021-02-12,Calumet,202.62,0.0374,18.53,1030
2021-02-13,Calumet,186.62,0.0364,18.26,1003
2021-02-14,Calumet,174.66,0.0368,17.17,979
2021-02-15,Calumet,166.58,0.0346,15.81,954
2021-02-16,Calumet,163.31,0.0338,15.54,927
2021-02-17,Calumet,154.77,0.0322,14.45,902
2021-02-18,Calumet,157.41,0.0334,14.99,870
2021-02-19,Calumet,159.43,0.0331,14.17,844
2021-02-20,Calumet,160.05,0.0335,14.17,822
2021-02-21,Calumet,160.52,0.0304,14.45,800
2021-02-22,Calumet,166.89,0.0318,14.45,778
2021-02-23,Calumet,167.2,0.0314,14.17,762
2021-02-24,Calumet,164.24,0.0306,14.17,747
2021-02-25,Calumet,161.29,0.0284,12.54,739
2021-02-26,Calumet,160.2,0.0286,11.99,721
2021-02-27,Calumet,156.94,0.0278,12.81,705
2021-02-28,Calumet,155.7,0.0284,12.27,692
2021-03-01,Calumet,143.58,0.0277,12.54,677
2021-03-02,Calumet,162.38,0.0275,12.54,668
2021-03-03,Calumet,158.03,0.0267,12.27,654
