wwtp,prevind,fit,lag,aic
comb,positive tests,orig-raw_data,-10,235.65376084130156
comb,positive tests,raw_data,-10,105.29955288407245
comb,test positivity rate,orig-raw_data,-10,237.36476020013527
comb,test positivity rate,raw_data,-10,-0.03443761512016863
comb,hospital admissions,orig-raw_data,-10,246.57243806280252
comb,hospital admissions,raw_data,-10,-50.06338803081326
comb,Cook County beds in use,orig-raw_data,-10,237.54959948625822
comb,Cook County beds in use,raw_data,-10,-48.39642637353222
comb,positive tests,orig-only_flow_norm,-10,267.779009534469
comb,positive tests,only_flow_norm,-10,79.59079346698672
comb,test positivity rate,orig-only_flow_norm,-10,259.78111199934744
comb,test positivity rate,only_flow_norm,-10,-25.140490295938434
comb,hospital admissions,orig-only_flow_norm,-10,269.009965929674
comb,hospital admissions,only_flow_norm,-10,-90.9804235097996
comb,Cook County beds in use,orig-only_flow_norm,-10,258.9705567172767
comb,Cook County beds in use,only_flow_norm,-10,-80.41836205345089
comb,positive tests,orig-pmmov_norm,-10,250.973766966364
comb,positive tests,pmmov_norm,-10,90.43161510124003
comb,test positivity rate,orig-pmmov_norm,-10,230.26260248179983
comb,test positivity rate,pmmov_norm,-10,-21.945386236593663
comb,hospital admissions,orig-pmmov_norm,-10,263.4381261351911
comb,hospital admissions,pmmov_norm,-10,-55.21607810008925
comb,Cook County beds in use,orig-pmmov_norm,-10,244.97766764983743
comb,Cook County beds in use,pmmov_norm,-10,-60.78289778939802
comb,positive tests,orig-only_bcov_norm,-10,158.11410405867122
comb,positive tests,only_bcov_norm,-10,65.8093779797116
comb,test positivity rate,orig-only_bcov_norm,-10,139.56020355520133
comb,test positivity rate,only_bcov_norm,-10,-42.911046440603855
comb,hospital admissions,orig-only_bcov_norm,-10,151.7544744968721
comb,hospital admissions,only_bcov_norm,-10,-87.24277251286401
comb,Cook County beds in use,orig-only_bcov_norm,-10,147.07028691128517
comb,Cook County beds in use,only_bcov_norm,-10,-84.92535245673434
comb,positive tests,orig-bcov_flow_norm,-10,192.12570468936957
comb,positive tests,bcov_flow_norm,-10,49.12887206428411
comb,test positivity rate,orig-bcov_flow_norm,-10,161.76019944675613
comb,test positivity rate,bcov_flow_norm,-10,-58.84338819454831
comb,hospital admissions,orig-bcov_flow_norm,-10,174.17993517128235
comb,hospital admissions,bcov_flow_norm,-10,-118.12097051107867
comb,Cook County beds in use,orig-bcov_flow_norm,-10,167.10039736811854
comb,Cook County beds in use,bcov_flow_norm,-10,-107.53989842695819
comb,positive tests,orig-pmmov_bcov_norm,-10,396.4294578753569
comb,positive tests,pmmov_bcov_norm,-10,67.42802306143517
comb,test positivity rate,orig-pmmov_bcov_norm,-10,378.40648764238375
comb,test positivity rate,pmmov_bcov_norm,-10,-42.991713921016185
comb,hospital admissions,orig-pmmov_bcov_norm,-10,395.50075615151155
comb,hospital admissions,pmmov_bcov_norm,-10,-86.47593024356888
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,388.5542748828631
comb,Cook County beds in use,pmmov_bcov_norm,-10,-83.06471019861954
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,418.08885448254614
comb,positive tests,pmmov_bcov_flow_norm,-10,47.6197794384027
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,396.5916548708563
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-64.40040148683204
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,412.86244265722434
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-116.2654139468425
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,405.4555015451575
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-108.78280296734852
comb,positive tests,orig-raw_data,-9,235.1667267744901
comb,positive tests,raw_data,-9,94.02562133810352
comb,test positivity rate,orig-raw_data,-9,239.90306152683917
comb,test positivity rate,raw_data,-9,1.3988298491386786
comb,hospital admissions,orig-raw_data,-9,248.19004611009154
comb,hospital admissions,raw_data,-9,-58.18072937831903
comb,Cook County beds in use,orig-raw_data,-9,237.56925865962904
comb,Cook County beds in use,raw_data,-9,-51.717723717839476
comb,positive tests,orig-only_flow_norm,-9,265.42634382585624
comb,positive tests,only_flow_norm,-9,70.02517551886262
