wwtp,prevind,fit,lag,aic
comb,positive tests,orig-raw_data,-10,364.3167725890605
comb,positive tests,raw_data,-10,90.2026713413045
comb,test positivity rate,orig-raw_data,-10,451.8623706406532
comb,test positivity rate,raw_data,-10,17.73357733918874
comb,hospital admissions,orig-raw_data,-10,363.5843389312171
comb,hospital admissions,raw_data,-10,-71.2752462321472
comb,Cook County beds in use,orig-raw_data,-10,402.66206749699404
comb,Cook County beds in use,raw_data,-10,-142.96453674428278
comb,positive tests,orig-only_flow_norm,-10,403.84229294849
comb,positive tests,only_flow_norm,-10,65.01194164300307
comb,test positivity rate,orig-only_flow_norm,-10,478.28390430691593
comb,test positivity rate,only_flow_norm,-10,-15.335870334706442
comb,hospital admissions,orig-only_flow_norm,-10,393.6662874941487
comb,hospital admissions,only_flow_norm,-10,-96.81182548618438
comb,Cook County beds in use,orig-only_flow_norm,-10,427.8069408967224
comb,Cook County beds in use,only_flow_norm,-10,-177.56782841647907
comb,positive tests,orig-pmmov_norm,-10,322.370826043432
comb,positive tests,pmmov_norm,-10,60.884916872669464
comb,test positivity rate,orig-pmmov_norm,-10,389.81553327098266
comb,test positivity rate,pmmov_norm,-10,1.9881252344542872
comb,hospital admissions,orig-pmmov_norm,-10,316.7748061359324
comb,hospital admissions,pmmov_norm,-10,-97.63242493475434
comb,Cook County beds in use,orig-pmmov_norm,-10,348.2906896835482
comb,Cook County beds in use,pmmov_norm,-10,-162.56073789172922
comb,positive tests,orig-only_bcov_norm,-10,228.0642472530551
comb,positive tests,only_bcov_norm,-10,34.67727282301712
comb,test positivity rate,orig-only_bcov_norm,-10,252.67689576932764
comb,test positivity rate,only_bcov_norm,-10,-54.02627287840994
comb,hospital admissions,orig-only_bcov_norm,-10,190.28692722040762
comb,hospital admissions,only_bcov_norm,-10,-145.06494410013158
comb,Cook County beds in use,orig-only_bcov_norm,-10,225.46251985679226
comb,Cook County beds in use,only_bcov_norm,-10,-209.9645893427329
comb,positive tests,orig-bcov_flow_norm,-10,265.9520099012127
comb,positive tests,bcov_flow_norm,-10,20.531151240071722
comb,test positivity rate,orig-bcov_flow_norm,-10,280.1325740053105
comb,test positivity rate,bcov_flow_norm,-10,-73.99853996316995
comb,hospital admissions,orig-bcov_flow_norm,-10,216.37392296383246
comb,hospital admissions,bcov_flow_norm,-10,-158.46963484721425
comb,Cook County beds in use,orig-bcov_flow_norm,-10,246.0355077513782
comb,Cook County beds in use,bcov_flow_norm,-10,-231.53815284950645
comb,positive tests,orig-pmmov_bcov_norm,-10,544.9742001311208
comb,positive tests,pmmov_bcov_norm,-10,31.8270586324885
comb,test positivity rate,orig-pmmov_bcov_norm,-10,534.7691164482023
comb,test positivity rate,pmmov_bcov_norm,-10,-52.02783991278443
comb,hospital admissions,orig-pmmov_bcov_norm,-10,528.4072864539376
comb,hospital admissions,pmmov_bcov_norm,-10,-144.6948802329124
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,533.9959117916449
comb,Cook County beds in use,pmmov_bcov_norm,-10,-208.3983534801572
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,576.2101911741217
comb,positive tests,pmmov_bcov_flow_norm,-10,10.906391694574154
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,563.5629487619905
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-73.43237030508806
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,555.2782389544143
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-162.18371790948174
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,559.2716438404664
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-233.51863564604753
comb,positive tests,orig-raw_data,-9,362.7179165148767
comb,positive tests,raw_data,-9,90.38819118175797
