wwtp,prevind,fit,lag,aic
comb,positive tests,orig-raw_data,-10,214.65284967588508
comb,positive tests,raw_data,-10,104.75737525046725
comb,test positivity rate,orig-raw_data,-10,215.3415510614647
comb,test positivity rate,raw_data,-10,12.506369259379596
comb,hospital admissions,orig-raw_data,-10,226.22840405487796
comb,hospital admissions,raw_data,-10,-44.09315517578824
comb,Cook County beds in use,orig-raw_data,-10,217.3517721295305
comb,Cook County beds in use,raw_data,-10,-48.230823611130575
comb,positive tests,orig-only_flow_norm,-10,246.44865731756448
comb,positive tests,only_flow_norm,-10,78.25585357400064
comb,test positivity rate,orig-only_flow_norm,-10,238.50737462430453
comb,test positivity rate,only_flow_norm,-10,-14.213501845925464
comb,hospital admissions,orig-only_flow_norm,-10,248.1020600613016
comb,hospital admissions,only_flow_norm,-10,-87.48360905880378
comb,Cook County beds in use,orig-only_flow_norm,-10,237.8486046725365
comb,Cook County beds in use,only_flow_norm,-10,-81.67868690979975
comb,positive tests,orig-pmmov_norm,-10,235.92790035380898
comb,positive tests,pmmov_norm,-10,91.60014522524006
comb,test positivity rate,orig-pmmov_norm,-10,219.0295533102805
comb,test positivity rate,pmmov_norm,-10,-6.141976572116107
comb,hospital admissions,orig-pmmov_norm,-10,246.27561563179017
comb,hospital admissions,pmmov_norm,-10,-49.53997066105984
comb,Cook County beds in use,orig-pmmov_norm,-10,227.0559234136092
comb,Cook County beds in use,pmmov_norm,-10,-62.167834358994526
comb,positive tests,orig-only_bcov_norm,-10,140.90072424066807
comb,positive tests,only_bcov_norm,-10,63.391161647642605
comb,test positivity rate,orig-only_bcov_norm,-10,126.12923065828079
comb,test positivity rate,only_bcov_norm,-10,-30.691559031063605
comb,hospital admissions,orig-only_bcov_norm,-10,133.93121591696718
comb,hospital admissions,only_bcov_norm,-10,-86.61873950334274
comb,Cook County beds in use,orig-only_bcov_norm,-10,129.0860331811548
comb,Cook County beds in use,only_bcov_norm,-10,-90.18177123085405
comb,positive tests,orig-bcov_flow_norm,-10,172.3311288619285
comb,positive tests,bcov_flow_norm,-10,47.320156493550996
comb,test positivity rate,orig-bcov_flow_norm,-10,146.4430040007682
comb,test positivity rate,bcov_flow_norm,-10,-46.826518028993576
comb,hospital admissions,orig-bcov_flow_norm,-10,153.29135084384188
comb,hospital admissions,bcov_flow_norm,-10,-118.10065838429574
comb,Cook County beds in use,orig-bcov_flow_norm,-10,145.24567344950066
comb,Cook County beds in use,bcov_flow_norm,-10,-112.4453599596971
comb,positive tests,orig-pmmov_bcov_norm,-10,363.6431971268812
comb,positive tests,pmmov_bcov_norm,-10,65.33096437775401
