wwtp,prevind,fit,lag,aic
comb,positive tests,orig-raw_data,-10,218.666712014911
comb,positive tests,raw_data,-10,121.3361115499963
comb,test positivity rate,orig-raw_data,-10,215.44105367794737
comb,test positivity rate,raw_data,-10,12.902179030943728
comb,hospital admissions,orig-raw_data,-10,215.10105383699448
comb,hospital admissions,raw_data,-10,13.030268558035402
comb,Cook County beds in use,orig-raw_data,-10,217.3517721295305
comb,Cook County beds in use,raw_data,-10,-48.230823611130575
comb,positive tests,orig-only_flow_norm,-10,252.72491398199793
comb,positive tests,only_flow_norm,-10,91.88676539455213
comb,test positivity rate,orig-only_flow_norm,-10,238.62969166061225
comb,test positivity rate,only_flow_norm,-10,-13.84125076236677
comb,hospital admissions,orig-only_flow_norm,-10,239.3595508119996
comb,hospital admissions,only_flow_norm,-10,-16.528502342640934
comb,Cook County beds in use,orig-only_flow_norm,-10,237.8486046725365
comb,Cook County beds in use,only_flow_norm,-10,-81.67868690979975
comb,positive tests,orig-pmmov_norm,-10,240.13000270865933
comb,positive tests,pmmov_norm,-10,108.2094697019856
comb,test positivity rate,orig-pmmov_norm,-10,219.23859828074882
comb,test positivity rate,pmmov_norm,-10,-5.647002549014758
comb,hospital admissions,orig-pmmov_norm,-10,229.38397321994768
comb,hospital admissions,pmmov_norm,-10,0.5481343301857464
comb,Cook County beds in use,orig-pmmov_norm,-10,227.0559234136092
comb,Cook County beds in use,pmmov_norm,-10,-62.167834358994526
comb,positive tests,orig-only_bcov_norm,-10,143.87368285465413
comb,positive tests,only_bcov_norm,-10,77.99685453422518
comb,test positivity rate,orig-only_bcov_norm,-10,126.36471117365596
comb,test positivity rate,only_bcov_norm,-10,-30.16859336891747
comb,hospital admissions,orig-only_bcov_norm,-10,120.1230329130745
comb,hospital admissions,only_bcov_norm,-10,-34.69317904087876
comb,Cook County beds in use,orig-only_bcov_norm,-10,129.0860331811548
comb,Cook County beds in use,only_bcov_norm,-10,-90.18177123085405
comb,positive tests,orig-bcov_flow_norm,-10,178.9946897418912
comb,positive tests,bcov_flow_norm,-10,59.44466242177515
comb,test positivity rate,orig-bcov_flow_norm,-10,146.70901512363827
comb,test positivity rate,bcov_flow_norm,-10,-46.33301193093422
comb,hospital admissions,orig-bcov_flow_norm,-10,142.7494683526475
comb,hospital admissions,bcov_flow_norm,-10,-53.07049725638177
comb,Cook County beds in use,orig-bcov_flow_norm,-10,145.24567344950066
comb,Cook County beds in use,bcov_flow_norm,-10,-112.4453599596971
comb,positive tests,orig-pmmov_bcov_norm,-10,364.9452970524658
comb,positive tests,pmmov_bcov_norm,-10,79.97707288777781
comb,test positivity rate,orig-pmmov_bcov_norm,-10,349.67940512469323
comb,test positivity rate,pmmov_bcov_norm,-10,-29.138467403960192
comb,hospital admissions,orig-pmmov_bcov_norm,-10,353.236570282896
comb,hospital admissions,pmmov_bcov_norm,-10,-32.72716516354393
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,353.7217274709225
comb,Cook County beds in use,pmmov_bcov_norm,-10,-88.29996238140012
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,384.11476088286906
comb,positive tests,pmmov_bcov_flow_norm,-10,59.55389502093027
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,364.11321622101116
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-49.26025092219351
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,367.9699152597436
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-52.099020904769816
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,366.56465808123704
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-113.38393683819032
comb,positive tests,orig-raw_data,-9,220.5113255612648
comb,positive tests,raw_data,-9,122.59269754303256
comb,test positivity rate,orig-raw_data,-9,217.3226958684367
comb,test positivity rate,raw_data,-9,13.946358807298623
comb,hospital admissions,orig-raw_data,-9,215.25771009337046
comb,hospital admissions,raw_data,-9,14.535024000172314
comb,Cook County beds in use,orig-raw_data,-9,217.57254958198564
comb,Cook County beds in use,raw_data,-9,-48.87604084310243
comb,positive tests,orig-only_flow_norm,-9,253.96000145530007
comb,positive tests,only_flow_norm,-9,93.923398594395
comb,test positivity rate,orig-only_flow_norm,-9,239.52495643367473
comb,test positivity rate,only_flow_norm,-9,-10.795789573717627
comb,hospital admissions,orig-only_flow_norm,-9,239.07981178729352
comb,hospital admissions,only_flow_norm,-9,-13.511437518311425
comb,Cook County beds in use,orig-only_flow_norm,-9,237.7436580336141
comb,Cook County beds in use,only_flow_norm,-9,-81.43976613385456
comb,positive tests,orig-pmmov_norm,-9,237.0128585403579
comb,positive tests,pmmov_norm,-9,107.65956249237746
