wwtp,prevind,fit,lag,window,start,aic,end
comb,hospital admissions,orig-raw_data,-10,2,2020-10-17,242.9848736731908,2020-10-31
comb,hospital admissions,raw_data,-10,2,2020-10-17,-43.92682152495064,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-10,2,2020-10-17,264.4172349962055,2020-10-31
comb,hospital admissions,only_flow_norm,-10,2,2020-10-17,-86.10456571650417,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-10,2,2020-10-17,256.13859490941354,2020-10-31
comb,hospital admissions,pmmov_norm,-10,2,2020-10-17,-48.31632147126885,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-10,2,2020-10-17,150.5242307680556,2020-10-31
comb,hospital admissions,only_bcov_norm,-10,2,2020-10-17,-79.53401582064686,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-10,2,2020-10-17,170.39364629433146,2020-10-31
comb,hospital admissions,bcov_flow_norm,-10,2,2020-10-17,-110.64883174284358,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-10,2,2020-10-17,382.77707384969085,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-10,2,2020-10-17,-78.95594877490072,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,2,2020-10-17,399.2150317330098,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-10,2,2020-10-17,-108.7810116381857,2020-10-31
comb,hospital admissions,orig-raw_data,-9,2,2020-10-17,244.25007180819784,2020-10-31
comb,hospital admissions,raw_data,-9,2,2020-10-17,-52.21524265030581,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-9,2,2020-10-17,264.62792282930593,2020-10-31
comb,hospital admissions,only_flow_norm,-9,2,2020-10-17,-93.23924634242172,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-9,2,2020-10-17,253.2748278001302,2020-10-31
comb,hospital admissions,pmmov_norm,-9,2,2020-10-17,-57.969061940700215,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-9,2,2020-10-17,147.86268839630958,2020-10-31
comb,hospital admissions,only_bcov_norm,-9,2,2020-10-17,-90.69448899605248,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-9,2,2020-10-17,166.49835052410424,2020-10-31
comb,hospital admissions,bcov_flow_norm,-9,2,2020-10-17,-120.51563277037616,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-9,2,2020-10-17,379.58248035957,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-9,2,2020-10-17,-89.73223500427304,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-9,2,2020-10-17,395.74040320156485,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-9,2,2020-10-17,-118.79133403528743,2020-10-31
comb,hospital admissions,orig-raw_data,-8,2,2020-10-17,244.67600789976183,2020-10-31
comb,hospital admissions,raw_data,-8,2,2020-10-17,-53.63807332054529,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-8,2,2020-10-17,264.96394140917323,2020-10-31
comb,hospital admissions,only_flow_norm,-8,2,2020-10-17,-94.95366213351252,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-8,2,2020-10-17,251.72936462403044,2020-10-31
comb,hospital admissions,pmmov_norm,-8,2,2020-10-17,-60.19927022665189,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-8,2,2020-10-17,148.2016416623709,2020-10-31
comb,hospital admissions,only_bcov_norm,-8,2,2020-10-17,-92.0841445711448,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-8,2,2020-10-17,166.72804790727264,2020-10-31
comb,hospital admissions,bcov_flow_norm,-8,2,2020-10-17,-122.18004256934609,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-8,2,2020-10-17,378.60553524446743,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-8,2,2020-10-17,-90.77534540110463,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-8,2,2020-10-17,394.8047623801825,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-8,2,2020-10-17,-120.72962721084792,2020-10-31
comb,hospital admissions,orig-raw_data,-7,2,2020-10-17,244.03439397468537,2020-10-31
comb,hospital admissions,raw_data,-7,2,2020-10-17,-51.403048995034,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-7,2,2020-10-17,263.9938198619923,2020-10-31
comb,hospital admissions,only_flow_norm,-7,2,2020-10-17,-90.39840790063505,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-7,2,2020-10-17,248.78722494495292,2020-10-31
comb,hospital admissions,pmmov_norm,-7,2,2020-10-17,-59.30885171962717,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-7,2,2020-10-17,145.7459624076605,2020-10-31
comb,hospital admissions,only_bcov_norm,-7,2,2020-10-17,-91.53413112569291,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-7,2,2020-10-17,163.86339024041268,2020-10-31
comb,hospital admissions,bcov_flow_norm,-7,2,2020-10-17,-119.35006609743135,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-7,2,2020-10-17,376.46000694581596,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-7,2,2020-10-17,-89.93535659223488,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-7,2,2020-10-17,392.5997420745988,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-7,2,2020-10-17,-118.16328219465953,2020-10-31
comb,hospital admissions,orig-raw_data,-6,2,2020-10-17,244.89167869359852,2020-10-31
comb,hospital admissions,raw_data,-6,2,2020-10-17,-51.949703012204566,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-6,2,2020-10-17,264.7790507592709,2020-10-31
comb,hospital admissions,only_flow_norm,-6,2,2020-10-17,-91.30692057876121,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-6,2,2020-10-17,243.97264666564666,2020-10-31
comb,hospital admissions,pmmov_norm,-6,2,2020-10-17,-62.717357675907294,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-6,2,2020-10-17,140.68058205363536,2020-10-31
comb,hospital admissions,only_bcov_norm,-6,2,2020-10-17,-96.99452272525258,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-6,2,2020-10-17,159.21088022612759,2020-10-31
comb,hospital admissions,bcov_flow_norm,-6,2,2020-10-17,-124.84523358283406,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-6,2,2020-10-17,371.5484756263247,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-6,2,2020-10-17,-95.10359914737609,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-6,2,2020-10-17,388.0439939519447,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-6,2,2020-10-17,-124.38602240830215,2020-10-31
comb,hospital admissions,orig-raw_data,-5,2,2020-10-17,247.31545779653328,2020-10-31
comb,hospital admissions,raw_data,-5,2,2020-10-17,-50.09573812274101,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-5,2,2020-10-17,266.2417150572956,2020-10-31
comb,hospital admissions,only_flow_norm,-5,2,2020-10-17,-86.59713484683533,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-5,2,2020-10-17,243.3482727304289,2020-10-31
comb,hospital admissions,pmmov_norm,-5,2,2020-10-17,-61.99995409313914,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-5,2,2020-10-17,140.1642679402388,2020-10-31
comb,hospital admissions,only_bcov_norm,-5,2,2020-10-17,-97.04088308413321,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-5,2,2020-10-17,157.50158045502803,2020-10-31
comb,hospital admissions,bcov_flow_norm,-5,2,2020-10-17,-122.12624049057325,2020-10-31
