wwtp,prevind,fit,lag,aic,aicall,aictest
comb,positive tests,orig-raw_data,-10,235.65376084130156,263.6462756473237,28.627361546421376
comb,positive tests,raw_data,-10,105.29955288407245,89.48726084630381,-31.32840906083713
comb,test positivity rate,orig-raw_data,-10,237.36476020013527,264.67459136325346,27.27822884014402
comb,test positivity rate,raw_data,-10,-0.03443761512016863,-12.982390360043432,-6.212361377271023
comb,hospital admissions,orig-raw_data,-10,246.57243806280252,273.02989254205806,24.338057327649118
comb,hospital admissions,raw_data,-10,-50.06338803081326,-99.58083443516938,-65.90116266793848
comb,Cook County beds in use,orig-raw_data,-10,237.54959948625822,262.7913520265652,23.69622136343465
comb,Cook County beds in use,raw_data,-10,-48.39642637353222,-96.0442454515656,-61.00399253984028
comb,positive tests,orig-only_flow_norm,-10,267.779009534469,302.12808694504815,34.65578804109299
comb,positive tests,only_flow_norm,-10,79.59079346698672,67.05941388783563,-12.764116458898059
comb,test positivity rate,orig-only_flow_norm,-10,259.78111199934744,292.97971656960783,33.85532194558911
comb,test positivity rate,only_flow_norm,-10,-25.140490295938434,-32.78254591507665,2.357836715347326
comb,hospital admissions,orig-only_flow_norm,-10,269.009965929674,300.17285621673676,28.95886841885953
comb,hospital admissions,only_flow_norm,-10,-90.9804235097996,-131.83845496917422,-35.09689523478958
comb,Cook County beds in use,orig-only_flow_norm,-10,258.9705567172767,288.58431299645474,27.89707405708528
comb,Cook County beds in use,only_flow_norm,-10,-80.41836205345089,-120.24819077323434,-34.74293327191563
comb,positive tests,orig-pmmov_norm,-10,250.973766966364,268.17031706818244,2.3309720619114156
comb,positive tests,pmmov_norm,-10,90.43161510124003,67.48369164044081,-45.06249258465507
comb,test positivity rate,orig-pmmov_norm,-10,230.26260248179983,255.62077581472306,25.037493626580105
comb,test positivity rate,pmmov_norm,-10,-21.945386236593663,-36.218977714411544,-4.796748035491117
comb,hospital admissions,orig-pmmov_norm,-10,263.4381261351911,282.9102732791899,3.870663204051243
comb,hospital admissions,pmmov_norm,-10,-55.21607810008925,-108.2125411410064,-71.94492555356341
comb,Cook County beds in use,orig-pmmov_norm,-10,244.97766764983743,261.5918880485378,2.996743660019848
comb,Cook County beds in use,pmmov_norm,-10,-60.78289778939802,-113.79068762468259,-69.08629640767073
comb,positive tests,orig-only_bcov_norm,-10,158.11410405867122,208.2242609702754,53.94739982475388
comb,positive tests,only_bcov_norm,-10,65.8093779797116,53.05861066968243,-10.559361758758172
comb,test positivity rate,orig-only_bcov_norm,-10,139.56020355520133,159.6962494052109,25.44306830848104
comb,test positivity rate,only_bcov_norm,-10,-42.911046440603855,-78.07372162239704,-32.288173592838724
comb,hospital admissions,orig-only_bcov_norm,-10,151.7544744968721,187.31309075061827,41.40639787639636
comb,hospital admissions,only_bcov_norm,-10,-87.24277251286401,-146.33684821414397,-76.14708081756044
comb,Cook County beds in use,orig-only_bcov_norm,-10,147.07028691128517,180.22464401558014,39.08357318561568
comb,Cook County beds in use,only_bcov_norm,-10,-84.92535245673434,-144.4023641819729,-78.72082605288378
comb,positive tests,orig-bcov_flow_norm,-10,192.12570468936957,246.62262344962966,58.946414432684165
comb,positive tests,bcov_flow_norm,-10,49.12887206428411,35.92396045461315,-6.534860197030518
comb,test positivity rate,orig-bcov_flow_norm,-10,161.76019944675613,190.48500403946358,34.52741053533725
comb,test positivity rate,bcov_flow_norm,-10,-58.84338819454831,-90.38377029761148,-22.45948889203207
comb,hospital admissions,orig-bcov_flow_norm,-10,174.17993517128235,214.80086315812855,46.450613569584576
comb,hospital admissions,bcov_flow_norm,-10,-118.12097051107867,-171.89135887076026,-50.56175427234852
comb,Cook County beds in use,orig-bcov_flow_norm,-10,167.10039736811854,205.22878695451197,44.02163784718533
comb,Cook County beds in use,bcov_flow_norm,-10,-107.53989842695819,-162.01344897666934,-54.17221269468885
comb,positive tests,orig-pmmov_bcov_norm,-10,396.4294578753569,473.5460468142371,82.71527396728916
comb,positive tests,pmmov_bcov_norm,-10,67.42802306143517,52.59771069458601,-12.360265676988423
comb,test positivity rate,orig-pmmov_bcov_norm,-10,378.40648764238375,449.5180681213499,76.3823754709566
comb,test positivity rate,pmmov_bcov_norm,-10,-42.991713921016185,-76.69397906855085,-27.50546810469703
comb,hospital admissions,orig-pmmov_bcov_norm,-10,395.50075615151155,468.6187147039641,78.058324160486
comb,hospital admissions,pmmov_bcov_norm,-10,-86.47593024356888,-143.59828488993787,-67.35222908219099
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,388.5542748828631,460.54895366273854,77.01396693598446
comb,Cook County beds in use,pmmov_bcov_norm,-10,-83.06471019861954,-143.09484902867746,-78.6700488439632
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,418.08885448254614,499.26892339403406,86.70087146294219
comb,positive tests,pmmov_bcov_flow_norm,-10,47.6197794384027,29.722180534765727,-12.023615707983758
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,396.5916548708563,472.2576643348109,81.04895018493212
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-64.40040148683204,-89.04248982754443,-11.228651047137241
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,412.86244265722434,489.70162151387245,81.77973418888178
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-116.2654139468425,-170.13063123395278,-48.71245377941477
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,405.4555015451575,481.0869173422455,80.65387984066622
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-108.78280296734852,-163.12675845957537,-51.168814756934935
comb,positive tests,orig-raw_data,-9,235.1667267744901,262.6578557158849,27.880235396293397
comb,positive tests,raw_data,-9,94.02562133810352,75.45961813049567,-34.78931197118827
comb,test positivity rate,orig-raw_data,-9,239.90306152683917,268.3793641557954,28.84668139825955
comb,test positivity rate,raw_data,-9,1.3988298491386786,-10.257797214165308,-4.693344247029858
comb,hospital admissions,orig-raw_data,-9,248.19004611009154,274.7800605657723,24.293311197396832
comb,hospital admissions,raw_data,-9,-58.18072937831903,-108.86979259915189,-65.8884072666726
comb,Cook County beds in use,orig-raw_data,-9,237.56925865962904,262.73185349930327,23.552006020152998
comb,Cook County beds in use,raw_data,-9,-51.717723717839476,-99.61155982513051,-60.3953417778839
comb,positive tests,orig-only_flow_norm,-9,265.42634382585624,299.08551712000906,33.84704405560423
comb,positive tests,only_flow_norm,-9,70.02517551886262,54.55525077569705,-16.60544576547646
comb,test positivity rate,orig-only_flow_norm,-9,261.52900840683645,295.4541738415609,34.7928234419759
comb,test positivity rate,only_flow_norm,-9,-22.471426622494278,-28.503787004905654,3.9603720399730378
comb,hospital admissions,orig-only_flow_norm,-9,269.52265041563925,300.6798641334992,28.85710885301163
comb,hospital admissions,only_flow_norm,-9,-97.90442434889894,-140.02255332921047,-36.24199258508433
comb,Cook County beds in use,orig-only_flow_norm,-9,258.5575381922988,287.9941832370248,27.6496454909811
comb,Cook County beds in use,only_flow_norm,-9,-83.07998145815088,-123.03923371812525,-34.62390679865149
comb,positive tests,orig-pmmov_norm,-9,242.29736386378778,258.9809918173187,4.14696264691044
comb,positive tests,pmmov_norm,-9,75.88851626161579,49.97599979273573,-47.591828386717154
comb,test positivity rate,orig-pmmov_norm,-9,229.38116036466994,254.80365683823547,25.273295457684736
comb,test positivity rate,pmmov_norm,-9,-21.909188895693546,-35.01500635787164,-3.472245390172862
comb,hospital admissions,orig-pmmov_norm,-9,260.26395207147823,279.5704953462538,4.658073501337488
comb,hospital admissions,pmmov_norm,-9,-64.99588945063499,-119.37605767287533,-71.56068257330992
comb,Cook County beds in use,orig-pmmov_norm,-9,241.99224983500488,258.4673726021231,3.7031374048090213
comb,Cook County beds in use,pmmov_norm,-9,-65.8502532288129,-119.23657335210572,-67.89317407607197
comb,positive tests,orig-only_bcov_norm,-9,150.49357754895777,198.9072141952288,52.26518548146147
comb,positive tests,only_bcov_norm,-9,51.67805427271537,35.32306424652599,-14.633462626934545
comb,test positivity rate,orig-only_bcov_norm,-9,143.541051894414,162.9827431732895,24.45034999402494
comb,test positivity rate,only_bcov_norm,-9,-39.651015649813985,-74.16522332706494,-31.67714940843912
comb,hospital admissions,orig-only_bcov_norm,-9,149.19602386646545,184.3934412272498,41.032116736858256
comb,hospital admissions,only_bcov_norm,-9,-98.38241156586582,-159.19145314998678,-76.30734854514913
comb,Cook County beds in use,orig-only_bcov_norm,-9,143.88692790131876,176.41176038202548,38.451525414515515
comb,Cook County beds in use,only_bcov_norm,-9,-90.7490234737985,-151.22866116850014,-79.09350424753553
comb,positive tests,orig-bcov_flow_norm,-9,182.8078804082856,235.79642232112406,57.34098543956968
comb,positive tests,bcov_flow_norm,-9,36.69819471847018,19.784502279037387,-10.90426996631771
comb,test positivity rate,orig-bcov_flow_norm,-9,164.52103792953847,192.15594530203654,33.260405209782206
comb,test positivity rate,bcov_flow_norm,-9,-54.59491324792532,-84.96695010107645,-21.187336548794775
comb,hospital admissions,orig-bcov_flow_norm,-9,170.38742158014702,210.66430422756872,46.07108980377347
comb,hospital admissions,bcov_flow_norm,-9,-127.9611136841337,-183.644997167866,-52.30626299404358
comb,Cook County beds in use,orig-bcov_flow_norm,-9,163.5328877162226,201.0152102577842,43.36860865195094
comb,Cook County beds in use,bcov_flow_norm,-9,-112.59140336071266,-168.03491797241222,-55.01968520470281
comb,positive tests,orig-pmmov_bcov_norm,-9,389.5302441995894,466.2039334364078,82.39337877512344
comb,positive tests,pmmov_bcov_norm,-9,52.759580424416754,33.39011196570911,-18.266718352470345
