wwtp,prevind,fit,lag,aic,aicall,aictest
comb,positive tests,orig-raw_data,-10,240.02437948777464,267.5649018392902,27.281545864027247
comb,positive tests,raw_data,-10,124.54551572853497,111.7153316328449,-30.82664692628846
comb,test positivity rate,orig-raw_data,-10,237.47128289151885,264.79270973670947,27.28239237595181
comb,test positivity rate,raw_data,-10,0.4002102119687833,-12.503158431397956,-6.179694632760723
comb,hospital admissions,orig-raw_data,-10,234.9982106464966,259.54524187503546,22.88572762957368
comb,hospital admissions,raw_data,-10,8.53658353376909,-28.890576620596956,-54.831289440961946
comb,Cook County beds in use,orig-raw_data,-10,237.54959948625824,262.7913520265652,23.69622136343465
comb,Cook County beds in use,raw_data,-10,-48.39642637353222,-96.0442454515656,-61.00399253984028
comb,positive tests,orig-only_flow_norm,-10,274.28827956414005,308.59839865792003,33.65350237012601
comb,positive tests,only_flow_norm,-10,96.70478437418284,87.39937007317596,-9.978803078522702
comb,test positivity rate,orig-only_flow_norm,-10,259.9114022519773,293.1250893878728,33.8626007120885
comb,test positivity rate,only_flow_norm,-10,-24.728620541279724,-32.32636990576788,2.402041720184794
comb,hospital admissions,orig-only_flow_norm,-10,260.0698144159221,289.1877672391731,26.80643794113231
comb,hospital admissions,only_flow_norm,-10,-20.79843076106181,-50.60080269539748,-26.47496007736816
comb,Cook County beds in use,orig-only_flow_norm,-10,258.9705567172767,288.58431299645474,27.89707405708528
comb,Cook County beds in use,only_flow_norm,-10,-80.41836205345089,-120.24819077323434,-34.74293327191563
comb,positive tests,orig-pmmov_norm,-10,255.9006781511848,274.01307060399824,2.9892040329485683
comb,positive tests,pmmov_norm,-10,109.70272167347572,90.04048246980032,-44.32789911108789
comb,test positivity rate,orig-pmmov_norm,-10,230.4877560349455,255.8589911605353,25.02645957598124
comb,test positivity rate,pmmov_norm,-10,-21.40278123691417,-35.64518741437474,-4.778271333171761
comb,hospital admissions,orig-pmmov_norm,-10,245.69141899814565,261.96244436958875,1.779878609529347
comb,hospital admissions,pmmov_norm,-10,-3.982685963991344,-47.09251222800688,-65.02357859817104
comb,Cook County beds in use,orig-pmmov_norm,-10,244.97766764983743,261.5918880485378,2.996743660019848
comb,Cook County beds in use,pmmov_norm,-10,-60.78289778939802,-113.7906876246826,-69.08629640767073
comb,positive tests,orig-only_bcov_norm,-10,162.27425799985815,214.886659679958,56.07421164274785
comb,positive tests,only_bcov_norm,-10,83.3706980812259,76.1807672530415,-3.658267192747177
comb,test positivity rate,orig-only_bcov_norm,-10,139.80992059852406,159.92219019821263,25.405809408923723
comb,test positivity rate,only_bcov_norm,-10,-42.348504053322586,-77.45939827685989,-32.28781069366471
comb,hospital admissions,orig-only_bcov_norm,-10,139.36245064759407,174.4352535522748,40.73817206611239
comb,hospital admissions,only_bcov_norm,-10,-33.81097380163533,-79.77227763302692,-59.29475286828304
comb,Cook County beds in use,orig-only_bcov_norm,-10,147.07028691128517,180.2246440155801,39.08357318561568
comb,Cook County beds in use,only_bcov_norm,-10,-84.92535245673446,-144.4023641819729,-78.72082605288304
comb,positive tests,orig-bcov_flow_norm,-10,199.50840293994588,256.1391163844271,60.9703562505904
comb,positive tests,bcov_flow_norm,-10,64.87601531978873,57.104842474806965,0.0507161186810272
comb,test positivity rate,orig-bcov_flow_norm,-10,162.0388586919804,190.74349135970303,34.500178322167834
comb,test positivity rate,bcov_flow_norm,-10,-58.30872700461703,-89.79040223086905,-22.423577530236457
comb,hospital admissions,orig-bcov_flow_norm,-10,165.29973785777895,204.81145128258015,45.27946699862319
comb,hospital admissions,bcov_flow_norm,-10,-53.59543481732544,-95.37725437520976,-40.294385992174696
comb,Cook County beds in use,orig-bcov_flow_norm,-10,167.10039736811854,205.228786954512,44.02163784718533
comb,Cook County beds in use,bcov_flow_norm,-10,-107.53989842695808,-162.01344897666905,-54.17221269468836
comb,positive tests,orig-pmmov_bcov_norm,-10,398.3196664618646,477.017971899941,84.43269100851255
comb,positive tests,pmmov_bcov_norm,-10,85.09222986813484,76.03399766312754,-4.875553937498466
comb,test positivity rate,orig-pmmov_bcov_norm,-10,378.5519679388567,449.6528692617734,76.36420196735443
comb,test positivity rate,pmmov_bcov_norm,-10,-42.4066261010239,-76.06611192810523,-27.51602793152241
comb,hospital admissions,orig-pmmov_bcov_norm,-10,387.6437940154185,460.24306647895855,77.77927383716155
comb,hospital admissions,pmmov_bcov_norm,-10,-31.81925465160259,-77.97224565859281,-57.87817431644068
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,388.5542748828631,460.54895366273854,77.01396693598446
comb,Cook County beds in use,pmmov_bcov_norm,-10,-83.06471019861954,-143.09484902867703,-78.67004884396158
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,421.21179649439176,503.9200063896883,88.34207336305482
comb,positive tests,pmmov_bcov_flow_norm,-10,63.49899237178988,50.81536596115924,-5.418886930143167
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,396.7442028318664,472.401792833898,81.03382613044703
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-63.824363088471046,-88.42725493005898,-11.202855465800203
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,406.3828434860008,482.54341769329926,81.25130714903598
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-53.55956580034524,-96.38617295691716,-39.98009825535132
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,405.4555015451575,481.0869173422455,80.65387984066622
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-108.78280296734864,-163.12675845957537,-51.16881475693475
comb,positive tests,orig-raw_data,-9,241.83758891467735,269.5670843527575,27.33393421494347
comb,positive tests,raw_data,-9,124.805867375115,111.7942769628786,-31.556750313903407
comb,test positivity rate,orig-raw_data,-9,239.88991649766515,268.3353215151062,28.79806984862449
comb,test positivity rate,raw_data,-9,1.1625079565864098,-10.517774166368142,-4.711122498499879
comb,hospital admissions,orig-raw_data,-9,235.33639929018528,259.7427503201724,22.575996326867777
comb,hospital admissions,raw_data,-9,7.829725946425924,-29.42729847549232,-53.95356197286654
comb,Cook County beds in use,orig-raw_data,-9,237.56925865962904,262.73185349930327,23.552006020153
comb,Cook County beds in use,raw_data,-9,-51.71772371783948,-99.61155982513051,-60.3953417778839
comb,positive tests,orig-only_flow_norm,-9,275.39793753018984,309.8500487301292,33.727249858189
comb,positive tests,only_flow_norm,-9,97.69638269920416,88.00907131531301,-10.97805185672274
comb,test positivity rate,orig-only_flow_norm,-9,261.5010309315607,295.3964081164765,34.748961853234945
comb,test positivity rate,only_flow_norm,-9,-22.70763298665281,-28.75786485376469,3.941980561342128
comb,hospital admissions,orig-only_flow_norm,-9,259.75388241159334,288.2207178201004,25.65654301965553
comb,hospital admissions,only_flow_norm,-9,-20.06072075364068,-48.76294042198075,-24.72873331141418
comb,Cook County beds in use,orig-only_flow_norm,-9,258.5575381922988,287.9941832370248,27.6496454909811
comb,Cook County beds in use,only_flow_norm,-9,-83.07998145815088,-123.03923371812525,-34.62390679865149
comb,positive tests,orig-pmmov_norm,-9,251.9224895459963,269.5490283887559,3.1718344110868344
comb,positive tests,pmmov_norm,-9,107.84735801090837,87.63346472847056,-45.37094628603761
comb,test positivity rate,orig-pmmov_norm,-9,229.3561867830484,254.77749740055796,25.2749026851627
comb,test positivity rate,pmmov_norm,-9,-22.156300625234397,-35.270583857352904,-3.4753025109261184
comb,hospital admissions,orig-pmmov_norm,-9,242.34052253063012,258.1310846195879,1.7223547139517086
comb,hospital admissions,pmmov_norm,-9,-6.511906662273077,-49.78000675235144,-64.10235082596323
comb,Cook County beds in use,orig-pmmov_norm,-9,241.99224983500483,258.4673726021231,3.703137404809021
comb,Cook County beds in use,pmmov_norm,-9,-65.8502532288129,-119.23657335210572,-67.89317407607197
comb,positive tests,orig-only_bcov_norm,-9,159.72693805835388,211.42338683837903,55.24667645055696
comb,positive tests,only_bcov_norm,-9,81.70902924440657,74.02524412518055,-4.248432139770259
comb,test positivity rate,orig-only_bcov_norm,-9,143.52159399313928,162.95116718393473,24.43654128412019
comb,test positivity rate,only_bcov_norm,-9,-39.889028798880304,-74.43134295777591,-31.68812959650268
comb,hospital admissions,orig-only_bcov_norm,-9,136.41851380153912,170.92383250897757,40.164375769735074
comb,hospital admissions,only_bcov_norm,-9,-36.7657510772799,-82.9784221904575,-58.7782918815349
comb,Cook County beds in use,orig-only_bcov_norm,-9,143.88692790131876,176.41176038202548,38.45152541451552
comb,Cook County beds in use,only_bcov_norm,-9,-90.7490234737985,-151.22866116849974,-79.09350424753437
comb,positive tests,orig-bcov_flow_norm,-9,196.7178537312911,252.58455948842425,60.2397365698486
comb,positive tests,bcov_flow_norm,-9,63.98963797984391,55.55572133870923,-0.8598207369331128
comb,test positivity rate,orig-bcov_flow_norm,-9,164.47858179326494,192.10141808276816,33.24796674474375
comb,test positivity rate,bcov_flow_norm,-9,-54.83271861489868,-85.22678797636777,-21.19787696311869
comb,hospital admissions,orig-bcov_flow_norm,-9,161.72247454715364,200.09250435178947,44.16817878390872
comb,hospital admissions,bcov_flow_norm,-9,-55.10862446070507,-96.32122631217408,-38.85864578505755
comb,Cook County beds in use,orig-bcov_flow_norm,-9,163.5328877162226,201.0152102577842,43.36860865195094
comb,Cook County beds in use,bcov_flow_norm,-9,-112.59140336071266,-168.03491797241216,-55.01968520470271
comb,positive tests,orig-pmmov_bcov_norm,-9,394.4168921143007,472.6406388023488,83.99386220390925
comb,positive tests,pmmov_bcov_norm,-9,83.14366120034845,72.84594015294371,-6.792361005691777
comb,test positivity rate,orig-pmmov_bcov_norm,-9,377.9621749271976,448.3631385254954,75.55717704275312
comb,test positivity rate,pmmov_bcov_norm,-9,-40.80837919282533,-73.38839384656268,-25.97259299132573
comb,hospital admissions,orig-pmmov_bcov_norm,-9,384.72342190158025,457.0749608436988,77.60187930537495
comb,hospital admissions,pmmov_bcov_norm,-9,-34.84338363351583,-81.63805626691322,-58.50665831887815
comb,Cook County beds in use,orig-pmmov_bcov_norm,-9,385.8907495333774,457.71717213440326,76.9286489977377
comb,Cook County beds in use,pmmov_bcov_norm,-9,-89.02550429727171,-150.244602722544,-79.6181065806226
comb,positive tests,orig-pmmov_bcov_flow_norm,-9,417.45384188881167,499.72343550781255,87.94671803777754
comb,positive tests,pmmov_bcov_flow_norm,-9,61.759281111553264,47.94340696470088,-7.110938623392773
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-9,395.8711776142076,470.7309782868948,80.13162843327146
comb,test positivity rate,pmmov_bcov_flow_norm,-9,-61.84762096862573,-84.16510660316055,-8.659503925418676
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-9,403.3723703226656,479.0581667746017,80.81061942247221
comb,hospital admissions,pmmov_bcov_flow_norm,-9,-55.54213350037969,-97.8186136363816,-38.441550840913166
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-9,402.7601679410794,478.19557630079953,80.53645127625875
comb,Cook County beds in use,pmmov_bcov_flow_norm,-9,-114.37539031002063,-169.51668218284334,-51.56052484129091
comb,positive tests,orig-raw_data,-8,242.50148716788132,269.9533746896443,26.76200908978884
comb,positive tests,raw_data,-8,124.58822035023616,111.21933370067032,-32.65146716815984
comb,test positivity rate,orig-raw_data,-8,240.91770703815905,270.2328550361452,30.067693667020897
comb,test positivity rate,raw_data,-8,-15.524843582620749,-24.191234136413517,-0.7845966415579966
comb,hospital admissions,orig-raw_data,-8,236.7110168253916,261.8105075467889,23.58303707311971
comb,hospital admissions,raw_data,-8,7.603155045287281,-29.151556226807912,-52.28624745898284
comb,Cook County beds in use,orig-raw_data,-8,237.32119629768815,262.3781872304952,23.40526248570489
comb,Cook County beds in use,raw_data,-8,-54.3024859912631,-102.23754960669773,-59.534013413093646
comb,positive tests,orig-only_flow_norm,-8,274.9713560365797,308.8571342513238,32.81505430822212
comb,positive tests,only_flow_norm,-8,99.41496533278018,89.53767714336526,-11.7738957620607
comb,test positivity rate,orig-only_flow_norm,-8,260.3741704702903,294.5912472207883,35.39672528110302
comb,test positivity rate,only_flow_norm,-8,-37.29762277525356,-39.776761915899336,7.062031289777891
comb,hospital admissions,orig-only_flow_norm,-8,260.080317540969,289.27580353887424,26.946738045166526
comb,hospital admissions,only_flow_norm,-8,-18.217163574651977,-47.458389264075,-25.908114830118777
comb,Cook County beds in use,orig-only_flow_norm,-8,258.0363867067666,287.30775289749386,27.441596866522257
comb,Cook County beds in use,only_flow_norm,-8,-85.22465661674482,-125.12266776832077,-34.280344560754074
comb,positive tests,orig-pmmov_norm,-8,247.35534854639516,265.2505046199992,5.56607594731801
comb,positive tests,pmmov_norm,-8,105.3416858372857,84.86486197480767,-44.76570502915547
comb,test positivity rate,orig-pmmov_norm,-8,223.86275260349825,250.2360463591856,27.541664245312614
comb,test positivity rate,pmmov_norm,-8,-43.08349620889339,-51.91640607892197,1.1133754658851327
comb,hospital admissions,orig-pmmov_norm,-8,239.4875336534223,254.56951621803512,0.8417283711821018
comb,hospital admissions,pmmov_norm,-8,-8.654170757232919,-52.08595533027495,-63.46330583498194
comb,Cook County beds in use,orig-pmmov_norm,-8,238.8888438242996,255.08326845039923,4.048092538340852
comb,Cook County beds in use,pmmov_norm,-8,-70.29236837815358,-123.9235785489596,-66.66487581661885
comb,positive tests,orig-only_bcov_norm,-8,157.63209015679598,210.2307946387198,55.82006009358123
comb,positive tests,only_bcov_norm,-8,80.11514866526113,73.05937207457131,-2.9640019447369426
comb,test positivity rate,orig-only_bcov_norm,-8,141.1031515181764,158.5031229363198,22.054690316888603
comb,test positivity rate,only_bcov_norm,-8,-58.491333050084336,-92.50296071316238,-28.310743377671702
comb,hospital admissions,orig-only_bcov_norm,-8,133.98424496077098,168.29930606406293,39.94022125978014
comb,hospital admissions,only_bcov_norm,-8,-39.362881592088456,-85.44835605246939,-57.33863055131279
comb,Cook County beds in use,orig-only_bcov_norm,-8,139.92241749882197,171.74617416618952,37.74310215266488
comb,Cook County beds in use,only_bcov_norm,-8,-96.4482206067637,-157.82557140199356,-79.18305799235513
comb,positive tests,orig-bcov_flow_norm,-8,193.5085090790516,249.9137951453813,60.5250575910743
comb,positive tests,bcov_flow_norm,-8,64.21449276902683,56.538054860954,0.2658378552777947
comb,test positivity rate,orig-bcov_flow_norm,-8,159.0468284085535,184.3325140362158,30.750297788026504
comb,test positivity rate,bcov_flow_norm,-8,-71.47372081360436,-100.63438239791624,-18.4366414239578
comb,hospital admissions,orig-bcov_flow_norm,-8,158.12193933383867,196.6009306557765,44.20265793044968
comb,hospital admissions,bcov_flow_norm,-8,-55.70905259131712,-97.7806852637743,-40.42159772434839
comb,Cook County beds in use,orig-bcov_flow_norm,-8,159.44559439724526,196.2474828820597,42.67622538222405
comb,Cook County beds in use,bcov_flow_norm,-8,-117.69889019222296,-174.046644346217,-55.71919061325087
comb,positive tests,orig-pmmov_bcov_norm,-8,390.9290506924302,469.9675934800547,84.93198368656178
comb,positive tests,pmmov_bcov_norm,-8,81.09294375900868,70.60542995905601,-6.771942580133057
comb,test positivity rate,orig-pmmov_bcov_norm,-8,373.7264194981422,443.5836533824601,75.08234804871778
comb,test positivity rate,pmmov_bcov_norm,-8,-61.00461850751503,-91.42307503682184,-20.73641046810509
comb,hospital admissions,orig-pmmov_bcov_norm,-8,381.6948467930261,453.430953544397,76.99251717461809
comb,hospital admissions,pmmov_bcov_norm,-8,-37.57623656331009,-84.66863909685385,-58.21348389192164
comb,Cook County beds in use,orig-pmmov_bcov_norm,-8,383.0454164983817,454.61095535000095,76.73628324622551
comb,Cook County beds in use,pmmov_bcov_norm,-8,-94.8769921971366,-157.15135004484176,-80.13954556317859
comb,positive tests,orig-pmmov_bcov_flow_norm,-8,413.7715455682819,496.6391714746242,88.68232075145795
comb,positive tests,pmmov_bcov_flow_norm,-8,61.03905256967437,47.568690520645774,-6.393327533895654
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-8,390.8104964618505,464.98012580904185,79.50989426974404
comb,test positivity rate,pmmov_bcov_flow_norm,-8,-80.87631518759804,-98.9661545224411,-4.131728559997562
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-8,400.1015542021455,475.2908618310303,80.35406518158892
comb,hospital admissions,pmmov_bcov_flow_norm,-8,-56.5710894418736,-100.11654519410116,-40.77650000002568
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-8,399.9657179767352,475.133218850731,80.33366527945793
comb,Cook County beds in use,pmmov_bcov_flow_norm,-8,-119.979034069357,-175.92231219732824,-51.971261199440505
comb,positive tests,orig-raw_data,-7,242.82686435722644,270.2851630274471,26.72320868470903
comb,positive tests,raw_data,-7,121.72179902918732,107.6329944950141,-33.62725688942169
comb,test positivity rate,orig-raw_data,-7,244.1895953359985,274.85331781667134,31.794959835318373
comb,test positivity rate,raw_data,-7,-21.54177129367031,-27.60638666071232,1.9347807646129684
comb,hospital admissions,orig-raw_data,-7,238.73311550629552,263.8084072603278,23.197715306437622
comb,hospital admissions,raw_data,-7,4.767043131341325,-32.615495616265136,-52.95555506521696
comb,Cook County beds in use,orig-raw_data,-7,237.71532047042277,262.6317280542504,23.086282936388454
comb,Cook County beds in use,raw_data,-7,-56.682580910288266,-104.8188589091308,-59.21001652119111
comb,positive tests,orig-only_flow_norm,-7,274.21357370150804,308.00520094612347,32.771370742968934
comb,positive tests,only_flow_norm,-7,97.98579387266513,87.11465424975623,-13.550506077112376
comb,test positivity rate,orig-only_flow_norm,-7,261.0704956356407,295.9561972348615,36.3533194028086
comb,test positivity rate,only_flow_norm,-7,-39.28264971721956,-39.40091954270036,9.054166728284676
comb,hospital admissions,orig-only_flow_norm,-7,261.5544645707661,290.3596181602839,25.95325397669965
comb,hospital admissions,only_flow_norm,-7,-21.02725050616073,-50.01409012051102,-25.0647466944505
comb,Cook County beds in use,orig-only_flow_norm,-7,258.0990702189557,287.14224778294107,27.018441224945065
comb,Cook County beds in use,only_flow_norm,-7,-87.23502266829234,-127.13291815753912,-34.05551605619356
comb,positive tests,orig-pmmov_norm,-7,242.50463857557628,259.4587808517059,4.783607014801635
comb,positive tests,pmmov_norm,-7,100.22381634575665,78.51314153241499,-46.43091143947723
comb,test positivity rate,orig-pmmov_norm,-7,218.4298807497015,245.4738146613849,29.17894391536621
comb,test positivity rate,pmmov_norm,-7,-54.774440415975846,-59.86321413911638,4.313877478404297
comb,hospital admissions,orig-pmmov_norm,-7,238.6755311598094,254.6364464004371,3.511329377223843
comb,hospital admissions,pmmov_norm,-7,-12.433841152572768,-55.95239574143284,-61.68153537574865
comb,Cook County beds in use,orig-pmmov_norm,-7,236.1429772543813,252.2505611707051,4.748663085494825
comb,Cook County beds in use,pmmov_norm,-7,-74.61389096386483,-128.47849586076595,-65.54174725548742
comb,positive tests,orig-only_bcov_norm,-7,153.44980134801085,204.87028937433195,54.71185915713608
comb,positive tests,only_bcov_norm,-7,75.09693511247383,66.76950166122148,-4.364623835485109
comb,test positivity rate,orig-only_bcov_norm,-7,144.7427650849416,162.34774371263077,22.109075289115182
comb,test positivity rate,only_bcov_norm,-7,-63.16262983643992,-94.73631674308986,-24.307899798887377
comb,hospital admissions,orig-only_bcov_norm,-7,135.6090500365866,170.62992752659542,40.607801015146016
