wwtp,prevind,fit,feature,lag,params,lb,ub
comb,positive tests,orig-raw_data,Stickney,-10,2.256927371246548,2.1667415827377265,2.347113159755369
comb,positive tests,orig-raw_data,Calumet,-10,2.4598907435864064,2.365422594966262,2.5543588922065505
comb,positive tests,orig-raw_data,OBrien,-10,2.3839445579898713,2.2901256826897973,2.477763433289945
comb,positive tests,raw_data,raw_data,-10,0.5125601781068719,0.4403985452878245,0.5847218109259193
comb,positive tests,raw_data,Stickney,-10,0.14999049632800582,-0.21262927294923623,0.5126102656052478
comb,positive tests,raw_data,Calumet,-10,-0.06891830599886473,-0.4298287652170303,0.29199215321930083
comb,positive tests,raw_data,OBrien,-10,0.0007082006885730796,-0.35919024667714566,0.3606066480542918
comb,test positivity rate,orig-raw_data,Stickney,-10,6.385611681272471,6.295080797076952,6.476142565467991
comb,test positivity rate,orig-raw_data,Calumet,-10,6.24060934668456,6.145779715937817,6.335438977431304
comb,test positivity rate,orig-raw_data,OBrien,-10,6.385172813656979,6.290994940672988,6.47935068664097
comb,test positivity rate,raw_data,raw_data,-10,0.40642539103774367,0.3493833824731886,0.4634673996022987
comb,test positivity rate,raw_data,Stickney,-10,-3.454613293612888,-3.7412553660928447,-3.167971221132931
comb,test positivity rate,raw_data,Calumet,-10,-3.3290283351689967,-3.6143192397884114,-3.043737430549582
comb,test positivity rate,raw_data,OBrien,-10,-3.481287523272014,-3.765778457235285,-3.1967965893087436
comb,hospital admissions,orig-raw_data,Stickney,-10,3.516672064328643,3.4242612595458244,3.609082869111462
comb,hospital admissions,orig-raw_data,Calumet,-10,3.584697017476855,3.48789820044953,3.68149583450418
comb,hospital admissions,orig-raw_data,OBrien,-10,3.7019536900302734,3.605820164852404,3.7980872152081426
comb,hospital admissions,raw_data,raw_data,-10,0.358331497685417,0.30731667535496426,0.40934632001586974
comb,hospital admissions,raw_data,Stickney,-10,-0.3481919486039264,-0.6045467784561878,-0.09183711875166495
comb,hospital admissions,raw_data,Calumet,-10,-0.43720755479068163,-0.6923539842012554,-0.18206112538010788
comb,hospital admissions,raw_data,OBrien,-10,-0.5627834879350005,-0.8172144733785794,-0.30835250249142165
comb,Cook County beds in use,orig-raw_data,Stickney,-10,2.0275246129154207,1.9369563690847817,2.1180928567460597
comb,Cook County beds in use,orig-raw_data,Calumet,-10,1.9507801303286856,1.8559113659709685,2.0456488946864027
comb,Cook County beds in use,orig-raw_data,OBrien,-10,1.958374883848355,1.8641581462161025,2.0525916214806075
comb,Cook County beds in use,raw_data,raw_data,-10,0.3766524608196173,0.32544746402208324,0.4278574576171513
comb,Cook County beds in use,raw_data,Stickney,-10,1.0504888410014461,0.7931783645170143,1.307799317485878
comb,Cook County beds in use,raw_data,Calumet,-10,1.1068419971163868,0.850744425782265,1.3629395684505086
comb,Cook County beds in use,raw_data,OBrien,-10,1.0911655151053994,0.8357860547901004,1.3465449754206984
comb,positive tests,orig-only_flow_norm,Stickney,-10,5.004533913624669,4.907643556164987,5.10142427108435
comb,positive tests,orig-only_flow_norm,Calumet,-10,4.807271686781754,4.705780611084558,4.9087627624789505
comb,positive tests,orig-only_flow_norm,OBrien,-10,4.649434088049682,4.548640553784575,4.750227622314788
comb,positive tests,only_flow_norm,raw_data,-10,0.47570434718532323,0.4063817920348749,0.5450269023357716
comb,positive tests,only_flow_norm,flow,-10,-0.8876736188231305,-1.2134596901238843,-0.5618875475223766
comb,positive tests,only_flow_norm,Stickney,-10,2.7709578973777327,1.7501603104120402,3.791755484343425
comb,positive tests,only_flow_norm,Calumet,-10,2.1955737385651144,1.2976046041783436,3.0935428729518852
comb,positive tests,only_flow_norm,OBrien,-10,2.192029560721513,1.3192265893057535,3.0648325321372725
comb,test positivity rate,orig-only_flow_norm,Stickney,-10,9.133218223650593,9.038042247949418,9.228394199351767
comb,test positivity rate,orig-only_flow_norm,Calumet,-10,8.587990289879903,8.488295001228893,8.687685578530912
comb,test positivity rate,orig-only_flow_norm,OBrien,-10,8.650662343716789,8.551652254172604,8.749672433260974
comb,test positivity rate,only_flow_norm,raw_data,-10,0.3775913547108407,0.3227197971299093,0.43246291229177214
comb,test positivity rate,only_flow_norm,flow,-10,-0.6944684933589437,-0.9523411169465803,-0.43659586977130704
comb,test positivity rate,only_flow_norm,Stickney,-10,-1.4041081940436495,-2.2121100550555717,-0.5961063330317276
comb,test positivity rate,only_flow_norm,Calumet,-10,-1.5574105411236738,-2.2681888001833324,-0.8466322820640153
comb,test positivity rate,only_flow_norm,OBrien,-10,-1.766914570085747,-2.457772810941258,-1.0760563292302359
comb,hospital admissions,orig-only_flow_norm,Stickney,-10,6.264278606706763,6.167121660386276,6.36143555302725
comb,hospital admissions,orig-only_flow_norm,Calumet,-10,5.9320779606722,5.83030763747338,6.03384828387102
comb,hospital admissions,orig-only_flow_norm,OBrien,-10,5.967443220090082,5.866372357572911,6.068514082607254
comb,hospital admissions,only_flow_norm,raw_data,-10,0.3264363481973329,0.2790643641181164,0.3738083322765494
comb,hospital admissions,only_flow_norm,flow,-10,-0.7681954811779509,-0.9908233481022993,-0.5455676142536025
comb,hospital admissions,only_flow_norm,Stickney,-10,1.9200013052076306,1.2224331481641766,2.6175694622510846
