wwtp,prevind,fit,feature,lag,params,lb,ub
comb,positive tests,orig-raw_data,Stickney,-10,2.249524495033377,2.170712786729745,2.328336203337009
comb,positive tests,orig-raw_data,Calumet,-10,2.4533303160217907,2.371444023619058,2.5352166084245233
comb,positive tests,orig-raw_data,OBrien,-10,2.349302801446914,2.267877843940017,2.430727758953811
comb,positive tests,raw_data,raw_data,-10,0.4833008833454928,0.4183209443160513,0.5482808223749344
comb,positive tests,raw_data,Stickney,-10,0.3006163376135278,-0.025126145045811066,0.6263588202728667
comb,positive tests,raw_data,Calumet,-10,0.08046367967906198,-0.2436548696453666,0.40458222900349056
comb,positive tests,raw_data,OBrien,-10,0.16141259335902242,-0.15979153033180732,0.48261671704985215
comb,test positivity rate,orig-raw_data,Stickney,-10,6.405231760536752,6.326245029100839,6.4842184919726655
comb,test positivity rate,orig-raw_data,Calumet,-10,6.264641402021028,6.18257325852414,6.346709545517916
comb,test positivity rate,orig-raw_data,OBrien,-10,6.380591568886537,6.2989857848068445,6.462197352966229
comb,test positivity rate,raw_data,raw_data,-10,0.398490734665086,0.34476341707438063,0.45221805225579137
comb,test positivity rate,raw_data,Stickney,-10,-3.436514978751201,-3.7058484081145857,-3.167181549387816
comb,test positivity rate,raw_data,Calumet,-10,-3.3149546002858354,-3.5829453139844465,-3.0469638865872244
comb,test positivity rate,raw_data,OBrien,-10,-3.4577714518848843,-3.7233524330729755,-3.192190470696793
comb,hospital admissions,orig-raw_data,Stickney,-10,3.518303519521569,3.43806711002815,3.5985399290149878
comb,hospital admissions,orig-raw_data,Calumet,-10,3.5956832903054377,3.5123167166002878,3.6790498640105875
comb,hospital admissions,orig-raw_data,OBrien,-10,3.677678333706247,3.5947814345762663,3.7605752328362274
comb,hospital admissions,raw_data,raw_data,-10,0.3416663261873663,0.29573040499395953,0.3876022473807731
comb,hospital admissions,raw_data,Stickney,-10,-0.26913291136159523,-0.49940830460264474,-0.03885751812054572
comb,hospital admissions,raw_data,Calumet,-10,-0.3673404189753461,-0.5964678136985455,-0.13821302425214663
comb,hospital admissions,raw_data,OBrien,-10,-0.47874023514212727,-0.705807350520214,-0.2516731197640405
comb,Cook County beds in use,orig-raw_data,Stickney,-10,2.0326172373498954,1.9538760621355455,2.111358412564245
comb,Cook County beds in use,orig-raw_data,Calumet,-10,1.9655525391725364,1.8837395314796184,2.0473655468654544
comb,Cook County beds in use,orig-raw_data,OBrien,-10,1.937569533024462,1.85621744735249,2.0189216186964343
comb,Cook County beds in use,raw_data,raw_data,-10,0.3594752118779492,0.31326586445025806,0.4056845593056403
comb,Cook County beds in use,raw_data,Stickney,-10,1.12865856874897,0.897012498007906,1.3603046394900342
comb,Cook County beds in use,raw_data,Calumet,-10,1.175458950743386,0.9449677117979977,1.4059501896887743
comb,Cook County beds in use,raw_data,OBrien,-10,1.174832626099331,0.9464139299828012,1.4032513222158607
comb,positive tests,orig-only_flow_norm,Stickney,-10,4.99445165107017,4.909863702305262,5.079039599835078
comb,positive tests,orig-only_flow_norm,Calumet,-10,4.784681558099762,4.696793683881567,4.872569432317957
comb,positive tests,orig-only_flow_norm,OBrien,-10,4.6195235201287606,4.532130792803995,4.706916247453526
