wwtp,prevind,fit,feature,lag,params,lb,ub
comb,positive tests,orig-raw_data,Stickney,-10,2.352454474160795,2.2759664223140326,2.4289425260075572
comb,positive tests,orig-raw_data,Calumet,-10,2.547954473735951,2.4690265566298164,2.626882390842086
comb,positive tests,orig-raw_data,OBrien,-10,2.457920253048984,2.3793552248402428,2.5364852812577254
comb,positive tests,raw_data,raw_data,-10,0.45477629103519057,0.40277712720349085,0.5067754548668904
comb,positive tests,raw_data,Stickney,-10,0.386455630555523,0.1203948798859355,0.6525163812251105
comb,positive tests,raw_data,Calumet,-10,0.1684055788975511,-0.09585747358077851,0.4326686313758807
comb,positive tests,raw_data,OBrien,-10,0.24390173842950086,-0.018954735672776057,0.5067582125317778
comb,test positivity rate,orig-raw_data,Stickney,-10,6.514306378948324,6.427038686105565,6.601574071791083
comb,test positivity rate,orig-raw_data,Calumet,-10,6.368676800622442,6.27862538657236,6.458728214672524
comb,test positivity rate,orig-raw_data,OBrien,-10,6.505030452174064,6.41539306980696,6.594667834541168
comb,test positivity rate,raw_data,raw_data,-10,0.2921509990444268,0.2455283041965337,0.3387736938923199
comb,test positivity rate,raw_data,Stickney,-10,-2.9584544424807224,-3.1970057628369073,-2.7199031221245376
comb,test positivity rate,raw_data,Calumet,-10,-2.84210097885026,-3.0790404745534388,-2.605161483147081
comb,test positivity rate,raw_data,OBrien,-10,-2.997328996822866,-3.233007347738821,-2.761650645906911
comb,hospital admissions,orig-raw_data,Stickney,-10,3.632950544001964,3.5565468167588605,3.7093542712450676
comb,hospital admissions,orig-raw_data,Calumet,-10,3.700928338460858,3.62208743579903,3.7797692411226858
comb,hospital admissions,orig-raw_data,OBrien,-10,3.879741834558401,3.801263420725437,3.958220248391365
comb,hospital admissions,raw_data,raw_data,-10,0.3800207444603524,0.33924701438261334,0.42079447453809143
comb,hospital admissions,raw_data,Stickney,-10,-0.5185088574214551,-0.7271331589043389,-0.30988455593857134
comb,hospital admissions,raw_data,Calumet,-10,-0.6121285384542625,-0.8193432237931477,-0.4049138531153773
comb,hospital admissions,raw_data,OBrien,-10,-0.80747340724099,-1.0135851624015366,-0.6013616520804435
comb,Cook County beds in use,orig-raw_data,Stickney,-10,2.11210263959076,2.031067451457338,2.193137827724182
comb,Cook County beds in use,orig-raw_data,Calumet,-10,2.041323581851591,1.957703480969841,2.124943682733341
