wwtp,prevind,fit,feature,lag,params,lb,ub
comb,positive tests,orig-raw_data,Stickney,-10,2.2314085843971623,2.1355293135612867,2.327287855233038
comb,positive tests,orig-raw_data,Calumet,-10,2.475512147431792,2.3753053416674232,2.5757189531961604
comb,positive tests,orig-raw_data,OBrien,-10,2.4078503246774874,2.307643518913119,2.508057130441856
comb,positive tests,raw_data,raw_data,-10,0.5310994335843159,0.454764264059923,0.6074346031087088
comb,positive tests,raw_data,Stickney,-10,0.07850161838286371,-0.3045190228505791,0.46152225961630644
comb,positive tests,raw_data,Calumet,-10,-0.15937999101140238,-0.5440310668501454,0.2252710848273406
comb,positive tests,raw_data,OBrien,-10,-0.09467190923315098,-0.4788516326021904,0.2895078141358884
comb,test positivity rate,orig-raw_data,Stickney,-10,6.366891861877968,6.270848191087498,6.462935532668438
comb,test positivity rate,orig-raw_data,Calumet,-10,6.26610120640654,6.165722580454407,6.366479832358673
comb,test positivity rate,orig-raw_data,OBrien,-10,6.418805219328653,6.31842659337652,6.519183845280786
comb,test positivity rate,raw_data,raw_data,-10,0.42530503041950585,0.36462263347481705,0.48598742736419465
comb,test positivity rate,raw_data,Stickney,-10,-3.5358145103025382,-3.8402955343724443,-3.231333486232632
comb,test positivity rate,raw_data,Calumet,-10,-3.4273980899799104,-3.7331752227835446,-3.121620957176276
comb,test positivity rate,raw_data,OBrien,-10,-3.583722273577773,-3.8891247062550356,-3.2783198409005108
comb,hospital admissions,orig-raw_data,Stickney,-10,3.4876136750862083,3.388933435855915,3.5862939143165016
comb,hospital admissions,orig-raw_data,Calumet,-10,3.5967358148233552,3.4936016182538148,3.6998700113928957
comb,hospital admissions,orig-raw_data,OBrien,-10,3.7208899970343423,3.617755800464802,3.824024193603883
comb,hospital admissions,raw_data,raw_data,-10,0.3637492541512406,0.3110364273791277,0.4164620809233535
comb,hospital admissions,raw_data,Stickney,-10,-0.3532986526139145,-0.6177914262237292,-0.08880587900409986
comb,hospital admissions,raw_data,Calumet,-10,-0.45397822919832237,-0.7195968903570602,-0.1883595680395846
comb,hospital admissions,raw_data,OBrien,-10,-0.5821403398138871,-0.8474335111461282,-0.3168471684816461
comb,Cook County beds in use,orig-raw_data,Stickney,-10,1.9929194572645776,1.8963943124897096,2.0894446020394457
comb,Cook County beds in use,orig-raw_data,Calumet,-10,1.9574876870279387,1.8566058556424048,2.0583695184134725
comb,Cook County beds in use,orig-raw_data,OBrien,-10,1.9714096061753843,1.8705277747898503,2.0722914375609185
comb,Cook County beds in use,raw_data,raw_data,-10,0.3802310023420802,0.3280579506413238,0.43240405404283655
comb,Cook County beds in use,raw_data,Stickney,-10,1.060202747300307,0.7984183582429984,1.3219871363576157
comb,Cook County beds in use,raw_data,Calumet,-10,1.1038583804353035,0.8409596328262681,1.366757128044339
comb,Cook County beds in use,raw_data,OBrien,-10,1.0860323562063359,0.8234557654343697,1.348608946978302
comb,positive tests,orig-only_flow_norm,Stickney,-10,4.981585190410094,4.87781447005554,5.0853559107646475
comb,positive tests,orig-only_flow_norm,Calumet,-10,4.812678336732162,4.704223898896507,4.921132774567817
comb,positive tests,orig-only_flow_norm,OBrien,-10,4.66942395155822,4.560969513722565,4.777878389393875
comb,positive tests,only_flow_norm,raw_data,-10,0.4923609469628235,0.4197091271234351,0.5650127668022119
comb,positive tests,only_flow_norm,flow,-10,-0.9538694148810823,-1.2981285097168334,-0.6096103200453313
comb,positive tests,only_flow_norm,Stickney,-10,2.89264551177003,1.815841755315518,3.9694492682245417
comb,positive tests,only_flow_norm,Calumet,-10,2.261319928080327,1.316691183554238,3.205948672606416
comb,positive tests,only_flow_norm,OBrien,-10,2.2536785515855833,1.3333174523838869,3.1740396507872797
comb,test positivity rate,orig-only_flow_norm,Stickney,-10,9.117068467890897,9.015327564488961,9.218809371292833
comb,test positivity rate,orig-only_flow_norm,Calumet,-10,8.603267395706911,8.496934391120957,8.709600400292866
comb,test positivity rate,orig-only_flow_norm,OBrien,-10,8.680378846209384,8.57404584162343,8.786711850795339
comb,test positivity rate,only_flow_norm,raw_data,-10,0.3944004554977845,0.33667748670783526,0.4521234242877338
comb,test positivity rate,only_flow_norm,flow,-10,-0.7609726493904176,-1.0344917027436655,-0.4874535960371697
comb,test positivity rate,only_flow_norm,Stickney,-10,-1.2907624089269234,-2.1462992662848404,-0.43522555156900666
comb,test positivity rate,only_flow_norm,Calumet,-10,-1.4962255394478705,-2.2467473523757624,-0.7457037265199784
comb,test positivity rate,only_flow_norm,OBrien,-10,-1.7102682724457325,-2.4415090744263113,-0.9790274704651536
comb,hospital admissions,orig-only_flow_norm,Stickney,-10,6.237790281099141,6.13359187886253,6.341988683335751
comb,hospital admissions,orig-only_flow_norm,Calumet,-10,5.933902004123725,5.825000580877036,6.042803427370414
comb,hospital admissions,orig-only_flow_norm,OBrien,-10,5.982463623915075,5.8735622006683865,6.091365047161764
comb,hospital admissions,only_flow_norm,raw_data,-10,0.3306712736155968,0.28256602843262363,0.37877651879856994
comb,hospital admissions,only_flow_norm,flow,-10,-0.8144890699338414,-1.042434745625833,-0.5865433942418499
comb,hospital admissions,only_flow_norm,Stickney,-10,2.0496397440120737,1.336651289865914,2.7626281981582332
comb,hospital admissions,only_flow_norm,Calumet,-10,1.6130066168728272,0.9875357413631768,2.2384774923824775
comb,hospital admissions,only_flow_norm,OBrien,-10,1.423066822583092,0.8136643818480158,2.032469263318168
comb,Cook County beds in use,orig-only_flow_norm,Stickney,-10,4.743096063277507,4.641521749335708,4.844670377219306
comb,Cook County beds in use,orig-only_flow_norm,Calumet,-10,4.294653876328309,4.188494980259542,4.400812772397075
comb,Cook County beds in use,orig-only_flow_norm,OBrien,-10,4.2329832330561175,4.12682433698735,4.339142129124885
comb,Cook County beds in use,only_flow_norm,raw_data,-10,0.35095090767544695,0.30214597810828925,0.39975583724260466
comb,Cook County beds in use,only_flow_norm,flow,-10,-0.720972583163068,-0.9522336983485583,-0.4897114679775777
comb,Cook County beds in use,only_flow_norm,Stickney,-10,3.187245045287046,2.46388626903625,3.910603821537842
comb,Cook County beds in use,only_flow_norm,Calumet,-10,2.9335200159829453,2.2989517498937078,3.568088282072183
comb,Cook County beds in use,only_flow_norm,OBrien,-10,2.8610093829304204,2.2427432648594436,3.479275501001397
comb,positive tests,orig-pmmov_norm,Stickney,-10,-6.601400085219004,-6.702490247675019,-6.500309922762989
comb,positive tests,orig-pmmov_norm,Calumet,-10,-6.165278063270894,-6.270930955555177,-6.059625170986611
comb,positive tests,orig-pmmov_norm,OBrien,-10,-6.2015300272077765,-6.3071829194920594,-6.0958771349234935
comb,positive tests,pmmov_norm,raw_data,-10,0.5967976215462139,0.5160187066567542,0.6775765364356735
comb,positive tests,pmmov_norm,pmmov,-10,-0.21988204823494392,-0.3305569051643784,-0.10920719130550946
comb,positive tests,pmmov_norm,Stickney,-10,1.6970335528777456,0.8023632866237549,2.5917038191317365
comb,positive tests,pmmov_norm,Calumet,-10,1.4160587664867101,0.5404269185480798,2.2916906144253404
comb,positive tests,pmmov_norm,OBrien,-10,1.474274236157682,0.6017943507611538,2.34675412155421
comb,test positivity rate,orig-pmmov_norm,Stickney,-10,-2.4659168077381985,-2.5628456502594434,-2.3689879652169537
comb,test positivity rate,orig-pmmov_norm,Calumet,-10,-2.3746890042961453,-2.4759927544270557,-2.273385254165235
comb,test positivity rate,orig-pmmov_norm,OBrien,-10,-2.190575132556612,-2.2918788826875223,-2.0892713824257014
comb,test positivity rate,pmmov_norm,raw_data,-10,0.485853345233156,0.42250958718718085,0.5491971032791312
comb,test positivity rate,pmmov_norm,pmmov,-10,-0.20264618996981204,-0.2894332106757038,-0.11585916926392023
comb,test positivity rate,pmmov_norm,Stickney,-10,-2.044154174669305,-2.745720628663795,-1.3425877206748151
comb,test positivity rate,pmmov_norm,Calumet,-10,-1.975452993504171,-2.6620902427055966,-1.2888157443027453
comb,test positivity rate,pmmov_norm,OBrien,-10,-2.137760853882625,-2.8219264537321114,-1.453595254033139
comb,hospital admissions,orig-pmmov_norm,Stickney,-10,-5.345194994529959,-5.4489210561875,-5.241468932872418
comb,hospital admissions,orig-pmmov_norm,Calumet,-10,-5.044054395879331,-5.152462159336487,-4.935646632422175
comb,hospital admissions,orig-pmmov_norm,OBrien,-10,-4.888490354850922,-4.996898118308078,-4.780082591393766
comb,hospital admissions,pmmov_norm,raw_data,-10,0.39585230328110477,0.3389906511742379,0.45271395538797166
comb,hospital admissions,pmmov_norm,pmmov,-10,-0.10744412313708204,-0.185350037326577,-0.029538208947587075
comb,hospital admissions,pmmov_norm,Stickney,-10,0.4375878516147308,-0.19218576566779566,1.0673614688972572
comb,hospital admissions,pmmov_norm,Calumet,-10,0.3158510370576167,-0.30052111376061735,0.9322231878758507
comb,hospital admissions,pmmov_norm,OBrien,-10,0.1845163481422974,-0.4296370826328641,0.7986697789174588
comb,Cook County beds in use,orig-pmmov_norm,Stickney,-10,-6.83988921235159,-6.938772794652992,-6.741005630050188
comb,Cook County beds in use,orig-pmmov_norm,Calumet,-10,-6.6833025236747465,-6.786649241255893,-6.5799558060936
comb,Cook County beds in use,orig-pmmov_norm,OBrien,-10,-6.637970745709879,-6.7413174632910255,-6.534624028128732
comb,Cook County beds in use,pmmov_norm,raw_data,-10,0.4262304573846525,0.37112721470524945,0.4813337000640555
comb,Cook County beds in use,pmmov_norm,pmmov,-10,-0.15395332361857889,-0.22945004832992547,-0.0784565989072323
comb,Cook County beds in use,pmmov_norm,Stickney,-10,2.19343928342738,1.5831410036485254,2.8037375632062345
comb,Cook County beds in use,pmmov_norm,Calumet,-10,2.206922658857877,1.6096114139519084,2.804233903763846
comb,Cook County beds in use,pmmov_norm,OBrien,-10,2.1845507464088163,1.589389609078711,2.779711883738922
comb,positive tests,orig-only_bcov_norm,Stickney,-10,3.737600057303436,3.6577918134162966,3.817408301190575
comb,positive tests,orig-only_bcov_norm,Calumet,-10,3.998739568038269,3.9153291590533734,4.082149977023164
comb,positive tests,orig-only_bcov_norm,OBrien,-10,3.971901689849379,3.8884912808644834,4.055312098834274
comb,positive tests,only_bcov_norm,raw_data,-10,0.6877009373340118,0.605594431215235,0.7698074434527886
comb,positive tests,only_bcov_norm,bcov_recovery,-10,-0.4193131296389171,-0.5396849145549536,-0.2989413447228806
comb,positive tests,only_bcov_norm,Stickney,-10,-1.3245186550902928,-1.8546731200091964,-0.7943641901713892
comb,positive tests,only_bcov_norm,Calumet,-10,-1.5716216437978727,-2.1047417828691843,-1.038501504726561
comb,positive tests,only_bcov_norm,OBrien,-10,-1.5230450995837739,-2.059421608959269,-0.9866685902082788
comb,test positivity rate,orig-only_bcov_norm,Stickney,-10,7.8730833347842415,7.796154421059398,7.950012248509085
comb,test positivity rate,orig-only_bcov_norm,Calumet,-10,7.789328627013018,7.7089275074792125,7.869729746546823
comb,test positivity rate,orig-only_bcov_norm,OBrien,-10,7.982856584500544,7.902455464966739,8.06325770403435
comb,test positivity rate,only_bcov_norm,raw_data,-10,0.5521182010631724,0.48714462656931656,0.6170917755570283
comb,test positivity rate,only_bcov_norm,bcov_recovery,-10,-0.3395524703710512,-0.4348066165271002,-0.2442983242150022
comb,test positivity rate,only_bcov_norm,Stickney,-10,-4.67195589525922,-5.091484532488387,-4.252427258030053
comb,test positivity rate,only_bcov_norm,Calumet,-10,-4.571006787321396,-4.9928822598937606,-4.149131314749032
comb,test positivity rate,only_bcov_norm,OBrien,-10,-4.740394009120583,-5.164846354446884,-4.315941663794281
comb,hospital admissions,orig-only_bcov_norm,Stickney,-10,4.993805147992481,4.915368621296365,5.072241674688597
comb,hospital admissions,orig-only_bcov_norm,Calumet,-10,5.119963235429832,5.037986456435301,5.2019400144243635
comb,hospital admissions,orig-only_bcov_norm,OBrien,-10,5.284941362206235,5.2029645832117035,5.366918141200766
comb,hospital admissions,only_bcov_norm,raw_data,-10,0.4731734010443291,0.41663849228527533,0.5297083098033829
comb,hospital admissions,only_bcov_norm,bcov_recovery,-10,-0.29299195980356907,-0.3758746471700006,-0.21010927243713756
comb,hospital admissions,only_bcov_norm,Stickney,-10,-1.333648731141212,-1.6986896483498533,-0.9686078139325707
comb,hospital admissions,only_bcov_norm,Calumet,-10,-1.4407716785769593,-1.8078546278429986,-1.07368872931092
comb,hospital admissions,only_bcov_norm,OBrien,-10,-1.5802055822070566,-1.9495307240438815,-1.2108804403702318
comb,Cook County beds in use,orig-only_bcov_norm,Stickney,-10,3.4991109301708514,3.421614100564193,3.57660775977751
comb,Cook County beds in use,orig-only_bcov_norm,Calumet,-10,3.480715107634416,3.3997204391930804,3.5617097760757517
comb,Cook County beds in use,orig-only_bcov_norm,OBrien,-10,3.535460971347275,3.454466302905939,3.616455639788611
comb,Cook County beds in use,only_bcov_norm,raw_data,-10,0.4879076272413993,0.4318715881751023,0.5439436663076963
comb,Cook County beds in use,only_bcov_norm,bcov_recovery,-10,-0.28831282902400923,-0.3704641512624352,-0.20616150678558326
comb,Cook County beds in use,only_bcov_norm,Stickney,-10,0.09550902408820827,-0.2663107355346369,0.45732878371105345
comb,Cook County beds in use,only_bcov_norm,Calumet,-10,0.13282418808593155,-0.23101958449907584,0.49666796067093893
comb,Cook County beds in use,only_bcov_norm,OBrien,-10,0.10390638326895907,-0.26215979655519667,0.4699725630931148
comb,positive tests,orig-bcov_flow_norm,Stickney,-10,6.487776663316367,6.401478191329819,6.574075135302916
comb,positive tests,orig-bcov_flow_norm,Calumet,-10,6.335905757338638,6.245712182181805,6.426099332495472
comb,positive tests,orig-bcov_flow_norm,OBrien,-10,6.233475316730112,6.143281741573278,6.323668891886945
comb,positive tests,bcov_flow_norm,raw_data,-10,0.6349926954022183,0.5526343396992521,0.7173510511051844
comb,positive tests,bcov_flow_norm,bcov_recovery,-10,-0.35566376695684865,-0.4747071062035136,-0.2366204277101837
comb,positive tests,bcov_flow_norm,flow,-10,-0.7125249262531176,-1.0406254946142868,-0.3844243578919485
comb,positive tests,bcov_flow_norm,Stickney,-10,0.9905715720571275,-0.1903938750513643,2.171537019165619
comb,positive tests,bcov_flow_norm,Calumet,-10,0.4509720921081405,-0.611361043355542,1.513305227571823
comb,positive tests,bcov_flow_norm,OBrien,-10,0.4479534448745788,-0.5951481652607564,1.491055055009914
comb,test positivity rate,orig-bcov_flow_norm,Stickney,-10,10.623259940797173,10.542343779611668,10.704176101982677
comb,test positivity rate,orig-bcov_flow_norm,Calumet,-10,10.12649481631339,10.041926483905085,10.211063148721694
comb,test positivity rate,orig-bcov_flow_norm,OBrien,-10,10.244430211381276,10.159861878972972,10.32899854378958
comb,test positivity rate,bcov_flow_norm,raw_data,-10,0.5103379711536811,0.44517546728655866,0.5755004750208035
comb,test positivity rate,bcov_flow_norm,bcov_recovery,-10,-0.2890995448135881,-0.383287462819054,-0.19491162680812227
comb,test positivity rate,bcov_flow_norm,flow,-10,-0.5647969680647541,-0.8243924198213235,-0.3052015163081847
