date,wrp,sarscov2,bcov_recovery,pmmov,flow
2020-10-21,Stickney,22084.65874258704,0.013941753581376571,185538332.2340372,688.0
2020-10-28,Stickney,73288.36785529622,0.0118790563673546,197710752.31885508,928.0
2020-11-04,Stickney,282023.96744179254,0.009666164720899057,247048361.29361024,531.0
2020-11-11,Stickney,88923.73960863546,0.009920210780282063,115658670.39415172,488.0
2020-11-18,Stickney,288676.597036392,0.03345232218681794,431716461.3866021,364.0
2020-11-24,Stickney,1140747.3879043537,0.03693441382303301,565512492.2890874,708.0
2020-12-02,Stickney,331924.42368908523,0.04294735896568966,1747679585.3406696,325.0
2020-12-09,Stickney,150281.80312266396,0.008487154791625358,168546345.46127915,392.0
2020-12-16,Stickney,565501.9570305381,0.0660592587702676,4361929947.574184,1056.0
2020-12-20,Stickney,84421.61108013231,0.013181588470674023,352467776.2770023,785.0
2020-12-22,Stickney,133216.64815646937,0.008881426469133613,123513291.84232569,429.0
2020-12-27,Stickney,837766.4447693801,0.10753803740744182,1109035707.743451,392.0
2020-12-29,Stickney,398837.78917475446,0.027157096333676183,1528502394.381736,510.0
2021-01-03,Stickney,136439.5504025058,0.024282710346934307,486975402.4861195,669.0
2021-01-05,Stickney,270636.7779948797,0.027342308345680202,922245811.6085151,510.0
2021-01-10,Stickney,565896.9513136831,0.12717304473143407,547305018.7936813,565.0
2021-01-12,Stickney,204150.83125815293,0.03262462576740746,325996672.8122292,584.0
2021-01-18,Stickney,853332.0682666625,0.052850247858250474,786959295.0086803,646.0
2021-01-19,Stickney,199590.465943616,0.025326180678293116,1124593753.0533547,476.0
2021-01-24,Stickney,313178.9395082917,0.07460228987254904,1744023982.8837252,391.0
2021-01-26,Stickney,259660.7107608617,0.0665086171047272,605719108.82152,411.0
2021-01-31,Stickney,359943.46899984987,0.096909475500362,783952316.861896,514.0
2021-02-02,Stickney,222707.44846037,0.07003741632357227,1058026531.254362,467.0
2021-02-07,Stickney,110981.01566259054,0.04686493750768734,1280144619.571551,495.0
2021-02-09,Stickney,12566.015122357614,0.013839761555275115,200641882.79126823,451.0
2021-02-15,Stickney,63571.961666224655,0.025033791180912264,569825002.7079188,517.0
2021-02-16,Stickney,94722.5706809454,0.023818529785700936,465244064.6290613,452.0
2021-02-21,Stickney,96222.71366048718,0.06559691821222614,1925060410.5590265,344.0
2021-02-23,Stickney,156720.037757206,0.02367216147491555,243789950.6668671,517.0
2021-02-28,Stickney,79369.81710761151,0.030053899260527293,330303380.9496381,1234.0
2021-03-02,Stickney,53831.165569930825,0.03870644047481325,357721348.56264365,927.0
2021-03-07,Stickney,22957.79515895212,0.036044014534856623,182215701.2547581,868.0
2021-03-09,Stickney,44783.62888734955,0.03758289709540361,872625623.5773863,1106.0
2021-03-14,Stickney,46262.793276092205,0.06049622100299251,2194692865.367495,451.0
2021-03-16,Stickney,68405.59866879752,0.05085925013205045,1909829950.830794,558.0
2021-03-21,Stickney,99789.25913550847,0.03905620872767527,527145257.4515533,776.0
2021-03-23,Stickney,69769.11513444297,0.027573832315878795,339319473.5323633,538.0
2021-03-28,Stickney,36164.47656546255,0.022908856677091326,342937742.8939906,584.0
2021-03-30,Stickney,127507.21923807508,0.030898502623755236,622811122.0082208,454.0
2021-04-04,Stickney,47733.75946233956,0.014820526398038662,401112327.13257545,581.0
2021-04-06,Stickney,45574.41470245906,0.013942553495717226,386157424.93050873,451.0
2021-04-11,Stickney,271550.56123649183,0.08354384526634319,1507909158.5457194,497.0
2021-04-13,Stickney,78049.58683193059,0.026424788325003397,1127241077.863405,389.0
2021-04-18,Stickney,173683.1925852401,0.07273218444007247,3108340126.754542,517.0
2021-04-20,Stickney,130792.60348369864,0.07658312064664793,3554177500.28644,454.0
2021-04-25,Stickney,215659.54207619088,0.059504020400091805,2412823348.7457647,388.0
2021-04-27,Stickney,104222.31218891652,0.02899160983286724,1854959436.826283,392.0
2021-05-02,Stickney,840744.5036192971,0.06611547291810259,5448512886.806192,492.0
2021-05-04,Stickney,151032.30249670942,0.03415450025020901,2762028585.513377,408.0
2021-05-09,Stickney,55799.60134741758,0.011538194000170532,354809212.5504117,994.0
2021-05-11,Stickney,37101.41997848774,0.023274792829562668,316060370.6449476,537.0
2021-05-18,Stickney,45008.278497825086,0.04012456163263814,996536702.494912,410.0
2021-05-23,Stickney,121535.20841353382,0.025718366554840603,784911617.8882344,496.0
2021-05-25,Stickney,125312.72720036792,0.042231182816138885,2005923827.8643837,432.0
2021-05-31,Stickney,25879.9803869267,0.029761659086926896,1444430869.3342242,495.0
2021-06-01,Stickney,30843.22556518532,0.02251778246403187,640379499.7395233,690.0
2021-06-06,Stickney,27870.7616770783,0.029134435921802745,1304164247.9995244,437.0
2021-06-08,Stickney,13449.08507603792,0.01935111224541103,764303375.4802663,344.0
2021-06-13,Stickney,103719.72336804624,0.03632317599866886,1960387977.8049932,629.0
2021-06-15,Stickney,23701.438580739174,0.007892452074762153,255270680.38110983,478.0
2021-06-20,Stickney,54909.30815514886,0.011010125675068571,197173006.1694858,650.0
2021-06-22,Stickney,4526.373915099848,0.015641985200810043,418785956.3629946,521.0
2021-06-27,Stickney,20803.58688931224,0.10973053788279553,984199719.3583716,1168.0
2021-06-29,Stickney,33.5,0.013208738747380848,112399410.51917332,1167.0
2021-07-05,Stickney,10545.757456139836,0.03218308982591748,425223245.0949803,956.0
2021-07-06,Stickney,27745.068734855373,0.050265819436008684,1254887057.106836,975.0
2021-07-11,Stickney,3681.560022062206,0.015259139917395801,122024786.80324268,1082.0
2021-07-13,Stickney,8508.48665046873,0.020795153634962975,370444896.4179335,627.0
2021-07-18,Stickney,69645.867331165,0.026950637480474392,751258818.2694474,580.0
2021-07-20,Stickney,13894.53407348466,0.010268624664685084,558071696.5376303,558.0
2021-07-25,Stickney,27330.18348777366,0.09630010417324895,838100485.3796679,970.0
2021-07-27,Stickney,38978.61545256831,0.07957570641647677,848323143.3824937,606.0
2021-08-01,Stickney,105887.5374108678,0.060868426769344876,1588237609.095717,390.0
2021-08-03,Stickney,71333.52316412597,0.04886648890741117,1294778112.0329683,452.0
2021-08-08,Stickney,176267.43349499264,0.045099848673688235,898397651.1772324,519.0
2021-08-10,Stickney,91228.3430243032,0.021310975612708918,570087526.9088191,765.0
2021-08-15,Stickney,131742.9435923745,0.07364683030909415,1088582696.614396,717.0
2021-08-17,Stickney,43738.18069745815,0.030936627403758854,729741135.4308877,408.0
2021-08-22,Stickney,216050.82077866024,0.05649317169540234,1756197656.6622078,645.0
2021-08-24,Stickney,141463.20701763776,0.03983931723844085,738852830.9318159,476.0
2021-08-29,Stickney,241850.9024476948,0.1373003226255687,1373657688.6922755,996.0
2021-08-31,Stickney,57156.59982534267,0.03667794661334025,801914532.3669186,755.0
2021-09-06,Stickney,203635.2176858233,0.06341866510578309,2402485017.6753745,497.0
2021-09-07,Stickney,34478.47645040437,0.03839449624311365,625902546.8231381,432.0
2021-09-12,Stickney,235168.79627944296,0.1033609149753245,1302995906.0779176,408.0
2021-09-14,Stickney,77975.46755556195,0.026586976758991798,493969354.4876955,388.0
2021-09-19,Stickney,115018.30757632098,0.11314741878891629,843023072.384861,451.0
2021-09-21,Stickney,40552.96534667416,0.030085225114540072,973154085.9849426,624.0
2021-09-26,Stickney,110467.5042686698,0.0876214813861588,822306650.2705125,519.0
2021-09-28,Stickney,186546.03434332536,0.06582591466001335,1931883443.408492,324.0
2021-10-03,Stickney,106543.7718999224,0.16215121928442877,1045338078.5150102,453.0
2021-10-05,Stickney,70798.30307370362,0.12510200186240605,1073535408.8123152,366.0
2021-10-10,Stickney,76196.62230609477,0.05433729586594365,515294464.3591571,842.0
2021-10-12,Stickney,27004.09733957674,0.025522684984092877,693257277.6791786,928.0
2021-10-17,Stickney,22954.824767789643,0.038671653735167885,120705929.32247618,721.0
2021-10-19,Stickney,97764.59533993152,0.11229996071703109,916101420.5001744,451.0
2021-10-24,Stickney,137271.21328053737,0.16015045221668792,1137674056.948914,766.0
2021-10-26,Stickney,31377.221330877102,0.04966878272934594,376914964.84896,1017.0
2021-10-31,Stickney,40246.72421897875,0.11566594700050098,280037734.8673199,1018.0
2021-11-02,Stickney,54156.888307828725,0.07331216270082588,385903436.8614345,1040.0
2021-11-07,Stickney,58704.94958093941,0.08490365077413276,193376878.82028636,911.0
2021-11-09,Stickney,101589.03985924672,0.08761980313189999,356853431.17307633,545.0
2021-11-14,Stickney,276958.4974326887,0.1284580927906977,1007295715.6531032,672.0
2021-11-16,Stickney,74594.61726843315,0.02654548095787214,448494957.8625495,374.0
2021-11-21,Stickney,958394.7594043064,0.2625863118354001,2533226856.0254807,452.0
2021-11-23,Stickney,140355.7572922244,0.03669512023219124,669701695.2082353,476.0
2021-11-28,Stickney,610545.4791957188,0.14476947304648147,2839715077.9181776,450.0
2021-11-30,Stickney,139905.98302422088,0.03344040755876678,903189902.5749054,388.0
2021-12-05,Stickney,533446.2985810328,0.09225661172508128,2783651936.105811,540.0
2021-12-07,Stickney,171004.49162586263,0.06712842067181513,763333863.6181072,540.0
2021-12-12,Stickney,658181.5611556203,0.06722117200419596,432122332.0847507,1056.0
2021-12-14,Stickney,970851.7593574064,0.06943026748344373,571079565.8222094,460.0
2021-12-19,Stickney,2120351.8299248205,0.15518367798978677,3777767516.657499,432.0
2021-12-21,Stickney,1807296.3825923011,0.11488276804937322,1494592595.5597076,388.0
2021-12-26,Stickney,2066098.625786124,0.06080006732555866,745742893.6393069,602.0
2021-12-28,Stickney,1103768.4847642917,0.05740247825074481,327922147.3304063,818.0
2020-10-21,Calumet,22271.39715884316,0.017757345535302883,155847297.0369299,140.0
2020-10-21,OBrien,78770.91740901883,0.043913631860679446,272819508.72583824,209.0
2020-10-21,Stickney SWS,40421.703639846106,0.01724679166754777,325184851.2135758,252.0
